BiolFlor-Name;UV reflection of the flower;;;
;UV reflection in the centre of the flower;UV reflection in the periphery of the flower;UV reflection pattern
Achillea millefolium L.;0-7 %;0-7 %;no UV reflectance patterns;
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;8-15 %;8-15 %;no UV reflectance patterns;
Aconitum napellus L.;8-15 %;8-15 %;no UV reflectance patterns;
Aegopodium podagraria L.;0-7 %;0-7 %;no UV reflectance patterns;
Ajuga reptans L.;0-7 %;28-39 %;UV reflectance pattern present;
Alchemilla vulgaris L.;8-15 %;8-15 %;no UV reflectance patterns;
Allium carinatum L. s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Anemone narcissiflora L.;0-7 %;0-7 %;no UV reflectance patterns;
Anemone nemorosa L.;0-7 %;0-7 %;no UV reflectance patterns;
Antennaria dioica (L.) Gaertn.;0-7 %;0-7 %;no UV reflectance patterns;
Anthericum ramosum L.;85-100 %;85-100 %;UV reflectance pattern present;
Anthriscus sylvestris (L.) Hoffm.;0-7 %;0-7 %;no UV reflectance patterns;
Anthyllis vulneraria L. s. l.;0-7 %;0-7 %;UV reflectance pattern present;
Aposeris foetida (L.) Less.;0-7 %;8-15 %;UV reflectance pattern present;
Aquilegia atrata W. D. J. Koch;0-7 %;16-27 %;UV reflectance pattern present;
Arabis hirsuta (L.) Scop.;8-15 %;8-15 %;no UV reflectance patterns;
Aster bellidiastrum (L.) Scop.;0-7 %;0-7 %;no UV reflectance patterns;
Bellis perennis L.;8-15 %;16-27 %;UV reflectance pattern present;
Berberis vulgaris L.;unknown;28-39 %;unknown;
Betonica officinalis L.;16-27 %;16-27 %;no UV reflectance patterns;
Biscutella laevigata L.;0-7 %;0-7 %;no UV reflectance patterns;
Buphthalmum salicifolium L.;0-7 %;28-39 %;UV reflectance pattern present;
Calluna vulgaris (L.) Hull;unknown;8-15 %;unknown;
Caltha palustris L.;0-7 %;28-39 %;UV reflectance pattern present;
Campanula glomerata L.;unknown;40-66 %;unknown;
Campanula patula L.;unknown;67-85 %;unknown;
Campanula scheuchzeri Vill.;28-39 %;28-39 %;no UV reflectance patterns;
Campanula trachelium L.;unknown;40-66 %;unknown;
Cardamine pratensis L. (s. l.);0-7 %;0-7 %;no UV reflectance patterns;
Carlina acaulis L.;0-7 %;16-27 %;UV reflectance pattern present;
Carlina vulgaris L. s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Carum carvi L.;0-7 %;0-7 %;no UV reflectance patterns;
Centaurea jacea L. s. l.;0-7 %;8-15 %;UV reflectance pattern present;
Centaurea scabiosa L. s. l.;0-7 %;8-15 %;UV reflectance pattern present;
Cephalanthera longifolia (L.) Fritsch;unknown;8-15 %;unknown;
Cerastium holosteoides Fr.;8-15 %;8-15 %;no UV reflectance patterns;
Chrysosplenium alternifolium L.;8-15 %;8-15 %;no UV reflectance patterns;
Cirsium arvense (L.) Scop.;0-7 %;0-7 %;no UV reflectance patterns;
Cirsium oleraceum (L.) Scop.;0-7 %;0-7 %;no UV reflectance patterns;
Cirsium palustre (L.) Scop.;0-7 %;0-7 %;no UV reflectance patterns;
Cirsium vulgare (Savi) Ten.;0-7 %;0-7 %;no UV reflectance patterns;
Clinopodium vulgare L.;0-7 %;0-7 %;no UV reflectance patterns;
Coeloglossum viride (L.) Hartm.;8-15 %;8-15 %;no UV reflectance patterns;
Convallaria majalis L.;unknown;8-15 %;unknown;
Crepis aurea (L.) Cass.;0-7 %;28-39 %;UV reflectance pattern present;
Crepis biennis L.;0-7 %;28-39 %;UV reflectance pattern present;
Crepis paludosa (L.) Moench;0-7 %;28-39 %;UV reflectance pattern present;
Crocus albiflorus Kit.;8-15 %;8-15 %;no UV reflectance patterns;
Cruciata laevipes Opiz;8-15 %;8-15 %;no UV reflectance patterns;
Dactylorhiza incarnata (L.) Soó;8-15 %;8-15 %;no UV reflectance patterns;
Dactylorhiza maculata (L.) Soó s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Daphne mezereum L.;8-15 %;8-15 %;no UV reflectance patterns;
Daucus carota L.;0-7 %;0-7 %;no UV reflectance patterns;
Dentaria enneaphyllos L.;0-7 %;0-7 %;no UV reflectance patterns;
Dryas octopetala L.;unknown;unknown;no UV reflectance patterns;
Epilobium angustifolium L.;8-15 %;8-15 %;no UV reflectance patterns;
Epilobium montanum L.;8-15 %;8-15 %;no UV reflectance patterns;
Epipactis atrorubens (Hoffm. ex Bernh.) Besser;8-15 %;8-15 %;no UV reflectance patterns;
Erigeron annuus (L.) Pers.;0-7 %;0-7 %;no UV reflectance patterns;
Eupatorium cannabinum L.;0-7 %;0-7 %;no UV reflectance patterns;
Euphorbia amygdaloides L.;8-15 %;8-15 %;no UV reflectance patterns;
Euphorbia cyparissias L.;8-15 %;8-15 %;no UV reflectance patterns;
Euphrasia officinalis L. s. l.;0-7 %;8-15 %;UV reflectance pattern present;
Fragaria moschata (Duchesne) Weston;0-7 %;0-7 %;no UV reflectance patterns;
Fragaria vesca L.;0-7 %;0-7 %;no UV reflectance patterns;
Fragaria viridis (Duchesne) Weston;0-7 %;0-7 %;no UV reflectance patterns;
Galeobdolon luteum Huds.;0-7 %;28-39 %;UV reflectance pattern present;
Galeopsis speciosa Mill.;0-7 %;16-27 %;UV reflectance pattern present;
Galeopsis tetrahit L.;8-15 %;8-15 %;no UV reflectance patterns;
Gentiana asclepiadea L.;16-27 %;16-27 %;UV reflectance pattern present;
Gentiana cruciata L.;8-15 %;8-15 %;UV reflectance pattern present;
Gentiana utriculosa L.;0-7 %;0-7 %;no UV reflectance patterns;
Gentianella ciliata (L.) Borkh.;8-15 %;8-15 %;no UV reflectance patterns;
Geranium robertianum L. s. str.;28-39 %;28-39 %;UV reflectance pattern present;
Geranium sylvaticum L.;0-7 %;67-85 %;UV reflectance pattern present;
