BiolFlor-Name;Floral rewards;;;
;Floral rewards;Amount of floral reward;Reference
Achillea millefolium L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Acinos alpinus (L.) Moench;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum degenii (Arcang.) Mucher;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum napellus L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aconitum variegatum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Adenostyles alliariae (Gouan) A. Kern.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Aegopodium podagraria L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Ajuga reptans L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Alchemilla alpigena Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla cleistophylla Rothm. & O. Schwarz;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla connivens Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla coriacea Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla crinita Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla cymatophylla Juz.;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
Alchemilla decumbens Buser;nectar;present;Fröhner, S. 1995: Alchemilla, Aphanes. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2b), S. 13-249, Blackwell, Berlin;
