site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,h2,OS,aggregate,0.052458315404264065,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,OS.repl,OS.partition,0.02369234992186015,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,OS.rich,OS.partition,0.028765965482403916,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,S,aggregate,0.5994431435779002,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,ST,aggregate,0.7710645844053257,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,ST.h,ST.partition,0.03424530476353832,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,ST.l,ST.partition,0.6109878297865907,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,ST.lh,ST.partition,0.12583144985519668,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,WN,aggregate,0.8235228998095898,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,WN.repl,WN.partition,0.4092631450083995,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h2,WN.rich,WN.partition,0.41425975480119026,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,170,902,FALSE,2010
h1,h3,OS,aggregate,0.2605596447681662,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,OS.repl,OS.partition,0.21279665547751536,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,OS.rich,OS.partition,0.04776298929065083,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,S,aggregate,0.46129208994129167,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,ST,aggregate,0.6586477098683805,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,ST.h,ST.partition,0.05942735072978506,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,ST.l,ST.partition,0.5409237383052123,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,ST.lh,ST.partition,0.058296620833383044,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,WN,aggregate,0.9192073546365467,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,WN.repl,WN.partition,0.7897610650456501,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h3,WN.rich,WN.partition,0.1294462895908966,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,288,961,FALSE,2010
h1,h5,OS,aggregate,0.17142763187772764,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,OS.repl,OS.partition,0.09772126321044562,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,OS.rich,OS.partition,0.07370636866728203,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,S,aggregate,0.5233896075072425,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,ST,aggregate,0.6619534116568694,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,ST.h,ST.partition,0.11201954278332642,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,ST.l,ST.partition,0.3989464298708538,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
h1,h5,ST.lh,ST.partition,0.1509874390026892,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,762,1198,TRUE,2010
