site1,site2,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,net.size1,net.size2,elev.diff,mean.elev,size.diff,man.diff,metric,value,metric.class
h1,h2,817,987,grasing,grasing,12.836133,47.590633,12.800967,47.574683,880,1130,170,902,250,FALSE,S,0.3805309734513274,aggregate
h1,h3,817,1105,grasing,grasing,12.836133,47.590633,12.79875,47.5607,880,710,288,961,170,FALSE,S,0.36633663366336633,aggregate
h1,h4,817,1330,grasing,grasing,12.836133,47.590633,12.807417,47.557383,880,642,513,1073.5,238,FALSE,S,0.4666666666666667,aggregate
h1,h5,817,1579,grasing,none,12.836133,47.590633,12.816433,47.5593,880,723,762,1198,157,TRUE,S,0.4318181818181818,aggregate
h1,h6,817,1808,grasing,none,12.836133,47.590633,12.822917,47.555367,880,204,991,1312.5,676,TRUE,S,0.5555555555555556,aggregate
h1,h7,817,1984,grasing,none,12.836133,47.590633,12.829933,47.552167,880,248,1167,1400.5,632,TRUE,S,0.5862068965517241,aggregate
h1,ho1,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,880,412,24,829,468,FALSE,S,0.4772727272727273,aggregate
h1,ho2,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,880,851,228,931,29,FALSE,S,0.40869565217391307,aggregate
h1,ho3,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,880,621,516,1075,259,TRUE,S,0.5578947368421052,aggregate
h1,ho4,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,880,720,735,1184.5,160,TRUE,S,0.5555555555555556,aggregate
h1,ho5,817,1825,grasing,grasing,12.836133,47.590633,12.877,47.5778,880,248,1008,1321,632,FALSE,S,0.5116279069767442,aggregate
h1,t1,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,880,531,103,765.5,349,TRUE,S,0.5189873417721519,aggregate
h1,t4,817,641,grasing,mowing,12.836133,47.590633,12.942383,47.612417,880,203,176,729,677,TRUE,S,0.575,aggregate
h1,t5,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,880,248,71,781.5,632,TRUE,S,0.5238095238095238,aggregate
h1,wma1,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,880,406,51,791.5,474,FALSE,S,0.34146341463414637,aggregate
h1,wma2,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,880,866,428,1031,14,FALSE,S,0.2826086956521739,aggregate
h1,wma3,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,880,388,606,1120,492,FALSE,S,0.3684210526315789,aggregate
h1,wma4,817,1773,grasing,none,12.836133,47.590633,12.923983,47.574517,880,178,956,1295,702,TRUE,S,0.5584415584415584,aggregate
h1,wma5,817,2032,grasing,none,12.836133,47.590633,12.930633,47.5683,880,226,1215,1424.5,654,TRUE,S,0.6666666666666666,aggregate
h1,wmb1,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,880,798,143,888.5,82,FALSE,S,0.3142857142857143,aggregate
h1,wmb2,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,880,981,323,978.5,101,FALSE,S,0.3090909090909091,aggregate
h1,wmb3,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,880,733,603,1118.5,147,FALSE,S,0.4690265486725664,aggregate
h1,wmb4,817,1655,grasing,grasing,12.836133,47.590633,12.9406,47.571617,880,927,838,1236,47,FALSE,S,0.6421052631578947,aggregate
h1,wmb5,817,1813,grasing,none,12.836133,47.590633,12.93625,47.571583,880,653,996,1315,227,TRUE,S,0.6382978723404256,aggregate
h2,h3,987,1105,grasing,grasing,12.800967,47.574683,12.79875,47.5607,1130,710,118,1046,420,FALSE,S,0.36065573770491804,aggregate
h2,h4,987,1330,grasing,grasing,12.800967,47.574683,12.807417,47.557383,1130,642,343,1158.5,488,FALSE,S,0.42857142857142855,aggregate
h2,h5,987,1579,grasing,none,12.800967,47.574683,12.816433,47.5593,1130,723,592,1283,407,TRUE,S,0.43119266055045874,aggregate
h2,h6,987,1808,grasing,none,12.800967,47.574683,12.822917,47.555367,1130,204,821,1397.5,926,TRUE,S,0.49019607843137253,aggregate
h2,h7,987,1984,grasing,none,12.800967,47.574683,12.829933,47.552167,1130,248,997,1485.5,882,TRUE,S,0.5370370370370371,aggregate
h2,ho1,987,841,grasing,grasing,12.800967,47.574683,12.880783,47.604083,1130,412,146,914,718,FALSE,S,0.5963302752293578,aggregate
h2,ho2,987,1045,grasing,grasing,12.800967,47.574683,12.893233,47.588917,1130,851,58,1016,279,FALSE,S,0.5294117647058824,aggregate
h2,ho3,987,1333,grasing,none,12.800967,47.574683,12.8873,47.584583,1130,621,346,1160,509,TRUE,S,0.5689655172413793,aggregate
h2,ho4,987,1552,grasing,none,12.800967,47.574683,12.881717,47.583083,1130,720,565,1269.5,410,TRUE,S,0.48333333333333334,aggregate
