site,year,break1.yday,break2.yday,break1.gdd,break2.gdd
h1,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
ho1,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
wmb1,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
t1,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
t4,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
t5,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
wma1,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
wma5,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
h2,2012,181.4725578651453,230.62357875055523,256.8945574746033,554.8542652058436
wmb5,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
h3,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
wma3,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
wmb3,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
wma2,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
h7,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
wmb2,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
wmb4,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
ho4,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
h5,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
ho2,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
wma4,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
h4,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
ho3,2012,191.20236539844385,228.40772284003094,198.4757472422897,358.78492107928435
h6,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
ho5,2012,194.5725805355664,230.01927714047062,105.49422854844842,193.02038223082076
wma4,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
h6,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
wma5,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
wmb4,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
h7,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
ho5,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
h5,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
wmb5,2011,131.87092802567025,245.21765468798753,-14.890230140585562,187.79290952625954
wma3,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
wmb3,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
ho4,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
h4,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
wma2,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
ho3,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
wmb2,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
h3,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
ho2,2011,137.63394193289116,204.22980269777506,-21.57896542845124,218.21368318052458
h2,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
ho1,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
wmb1,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
wma1,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
h1,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
t1,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
t5,2011,120.88650964579936,194.61529084087056,2.174919984644831,283.0620815372383
h2,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
h3,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
ho2,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
t5,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
wma2,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
h1,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
t1,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
wmb2,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
wmb1,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
ho1,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
wma1,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
h6,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
t4,2010,169.73014216163628,232.27661876128877,133.6689260158485,472.2581906933085
wmb4,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
h7,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
wmb3,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
wmb5,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
ho3,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
h4,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
ho5,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
ho4,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
wma5,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
h5,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
wma4,2010,186.70907055127543,247.95915005424214,67.43355225003695,227.5277317219017
wma3,2010,179.31247834575157,230.3542740569682,119.01045551713818,342.4515160565617
