site,date,year,q.prop,r.prop,gdd.cum,elev.class,management,elev.mean,transect,lat,lon,elev.class2,yday,break1,break2,caste,count,prop
h1,2012-03-30,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,90,181.4725578651453,230.62357875055523,queen,1,1
h1,2012-04-02,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,93,181.4725578651453,230.62357875055523,queen,1,1
h1,2012-04-04,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,95,181.4725578651453,230.62357875055523,queen,10,1
h1,2012-04-13,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,104,181.4725578651453,230.62357875055523,queen,2,1
h1,2012-04-20,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,111,181.4725578651453,230.62357875055523,queen,19,1
h1,2012-04-21,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,112,181.4725578651453,230.62357875055523,queen,34,1
h1,2012-04-23,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,114,181.4725578651453,230.62357875055523,queen,13,1
h1,2012-04-25,2012,1,0,2,mitte,grasing,817,Hintersee,47.590633,12.836133,low,116,181.4725578651453,230.62357875055523,queen,56,1
ho1,2012-04-20,2012,1,0,2,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,111,181.4725578651453,230.62357875055523,queen,7,1
ho1,2012-04-23,2012,1,0,2,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,114,181.4725578651453,230.62357875055523,queen,8,1
wmb1,2012-04-20,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,111,181.4725578651453,230.62357875055523,queen,10,1
wmb1,2012-04-23,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,114,181.4725578651453,230.62357875055523,queen,7,1
wmb1,2012-04-25,2012,1,0,2,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,116,181.4725578651453,230.62357875055523,queen,17,1
t1,2012-03-25,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,85,181.4725578651453,230.62357875055523,queen,1,1
t1,2012-03-30,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,90,181.4725578651453,230.62357875055523,queen,6,1
t1,2012-04-02,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,93,181.4725578651453,230.62357875055523,queen,4,1
t1,2012-04-14,2012,1,0,3,unten,mowing,714,Tal,47.609817,12.8992,low,105,181.4725578651453,230.62357875055523,queen,2,1
t4,2012-03-29,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,89,181.4725578651453,230.62357875055523,queen,6,1
t4,2012-03-30,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,90,181.4725578651453,230.62357875055523,queen,13,1
t4,2012-03-31,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,91,181.4725578651453,230.62357875055523,queen,13,1
t4,2012-04-04,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,95,181.4725578651453,230.62357875055523,queen,26,1
t4,2012-04-14,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,105,181.4725578651453,230.62357875055523,queen,1,1
t4,2012-04-19,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,110,181.4725578651453,230.62357875055523,queen,3,1
t4,2012-04-21,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,112,181.4725578651453,230.62357875055523,queen,7,1
t4,2012-04-23,2012,1,0,3,unten,mowing,641,Tal,47.612417,12.942383,low,114,181.4725578651453,230.62357875055523,queen,4,1
t5,2012-04-04,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,95,181.4725578651453,230.62357875055523,queen,3,1
t5,2012-04-13,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,104,181.4725578651453,230.62357875055523,queen,1,1
t5,2012-04-21,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,112,181.4725578651453,230.62357875055523,queen,3,1
t5,2012-04-23,2012,1,0,3,unten,mowing,746,Tal,47.604817,12.946317,low,114,181.4725578651453,230.62357875055523,queen,2,1
wma1,2012-03-28,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,88,181.4725578651453,230.62357875055523,queen,3,1
wma1,2012-03-29,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,89,181.4725578651453,230.62357875055523,queen,3,1
wma1,2012-03-30,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,90,181.4725578651453,230.62357875055523,queen,1,1
wma1,2012-03-31,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,91,181.4725578651453,230.62357875055523,queen,1,1
wma1,2012-04-04,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,95,181.4725578651453,230.62357875055523,queen,4,1
wma1,2012-04-14,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,105,181.4725578651453,230.62357875055523,queen,2,1
wma1,2012-04-23,2012,1,0,3,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,114,181.4725578651453,230.62357875055523,queen,2,1
wma5,2012-06-05,2012,1,0,13,oben,none,2032,Watzmann 1,47.5683,12.930633,high,157,194.5725805355664,230.01927714047062,queen,1,1
wmb1,2012-04-27,2012,1,0,13,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,118,181.4725578651453,230.62357875055523,queen,11,1
h1,2012-04-27,2012,1,0,15,mitte,grasing,817,Hintersee,47.590633,12.836133,low,118,181.4725578651453,230.62357875055523,queen,54,1
t5,2012-04-27,2012,1,0,15,unten,mowing,746,Tal,47.604817,12.946317,low,118,181.4725578651453,230.62357875055523,queen,6,1
wma1,2012-04-27,2012,1,0,15,mitte,grasing,766,Watzmann 1,47.596033,12.924383,low,118,181.4725578651453,230.62357875055523,queen,1,1
t4,2012-04-27,2012,1,0,16,unten,mowing,641,Tal,47.612417,12.942383,low,118,181.4725578651453,230.62357875055523,queen,4,1
h2,2012-04-28,2012,1,0,22,mitte,grasing,987,Hintersee,47.574683,12.800967,low,119,181.4725578651453,230.62357875055523,queen,2,1
wmb1,2012-04-28,2012,1,0,22,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,119,181.4725578651453,230.62357875055523,queen,6,1
