year,bb.sp,plant.sp,prop.fl.abund.m,prop.visits.wm
2010,bss,Achillea atrata,0.022282537418032367,0
2010,bss,Acinos alpinus,0.026516736809132656,0.021505376344086023
2010,bss,Aconitum napellus,0.022388000136752243,0
2010,bss,Aconitum vulparia,0.018862321511172064,0
2010,bss,Adenostyles alliariae,0.018707114105757514,0
2010,bss,Ajuga reptans,0.017094560569477304,0
2010,bss,Alchemilla vulgaris,0.09062172702035444,0
2010,bss,Androsace chamaejasme,0.027414749842117676,0
2010,bss,Anemone nemorosa,0.10561309295486511,0
2010,bss,Anthericum ramosum,0.03887750689108375,0
2010,bss,Anthyllis vulneraria,0.08340540365014755,0.05325443786982249
2010,bss,Aposeris foetida,0.01584669833090893,0
2010,bss,Aster bellidiastrum,0.02041058788246807,0
2010,bss,Bartsia alpina,0.024716582649197967,0
2010,bss,Biscutella laevigata,0.027859361809937734,0
2010,bss,Buphthalmum salicifolium,0.01830158905702363,0
2010,bss,Campanula alpina,0.03145875228255091,0
2010,bss,Campanula cochleariifolia,0.03254405929380385,0
2010,bss,Campanula scheuchzeri,0.03638099892640639,0.011494252873563218
2010,bss,Cardamine enneaphyllos,0.007758432683349287,0
2010,bss,Carduus defloratus,0.023160324366455324,0.04285714285714286
2010,bss,Carum carvi,0.016212258287480182,0
2010,bss,Centaurea jacea,0.047487428206810275,0.14615384615384616
2010,bss,Chaerophyllum hirsutum,0.14073636365926934,0.014492753623188406
2010,bss,Chrysosplenium alternifolium,0.0028790786948176585,0
2010,bss,Cirsium arvense,0.025349781379642517,0
2010,bss,Cirsium palustre,0.03148067737733391,0
2010,bss,Cirsium spinosissimum,0.02271128030803093,0.1111111111111111
2010,bss,Cirsium vulgare,0.04817927170868347,0
2010,bss,Clinopodium vulgare,0.037552943620419006,0
2010,bss,Crepis aurea,0.03519211726661804,0
2010,bss,Crepis biennis,0.11979560089962515,0
2010,bss,Crepis terglouensis,0.06060606060606061,0
2010,bss,Dactylorhiza maculata,0.018198320964676832,0
2010,bss,Dryas octopetala,0.02915043004169895,0
2010,bss,Epilobium montanum,0.00899943826770051,0
2010,bss,Erica carnea,0.053980099502487555,0
2010,bss,Euphorbia cyparissias,0.050109413727103,0
