plant.sp,bb.sp,prop.fl.abund.m,prop.visits.wm
Achillea atrata,bss,0.033117830688901756,0
Achillea atrata,gers,0.015384615384615384,0
Achillea atrata,hort,0.0334757960165038,0
Achillea atrata,hypn,0.01081830116205572,0
Achillea atrata,jone,0.023284410426365768,0
Achillea atrata,lapi,0.027950122246797438,0
Achillea atrata,mend,0.02799695700084334,0
Achillea atrata,mont,0.03995905556799554,0
Achillea atrata,muci,0.022624916973060478,0
Achillea atrata,pasc,0.0244982060218555,0
Achillea atrata,prat,0.023664243785680376,0.005847953216374269
Achillea atrata,psit,0.01792013915799082,0
Achillea atrata,pyre,0.02665581338698697,0
Achillea atrata,soro,0.03152692399056038,0
Achillea atrata,wurf,0.03706348097544827,0
Acinos alpinus,bss,0.022741096403900346,0.0397936624907885
Acinos alpinus,gers,0.015496986012522735,0
Acinos alpinus,hort,0.022361261034257087,0.028368794326241134
Acinos alpinus,humi,0.012903225806451613,0
Acinos alpinus,hypn,0.010913239447943155,0
Acinos alpinus,jone,0.04176523622875275,0.06756756756756757
Acinos alpinus,lapi,0.029059748415215237,0.05555555555555555
Acinos alpinus,mend,0.024064706373480262,0.17391304347826086
Acinos alpinus,mont,0.031924683353231544,0.020905923344947737
Acinos alpinus,muci,0.017399023102799248,0
Acinos alpinus,pasc,0.019698820876223898,0.06523855890944498
Acinos alpinus,prat,0.021226155200650413,0.023952095808383235
Acinos alpinus,psit,0.030215350565266252,0.01775147928994083
Acinos alpinus,pyre,0.021679655648439652,0.08620689655172414
Acinos alpinus,soro,0.02164850015491173,0.008027522935779817
Acinos alpinus,wurf,0.021913589148379382,0.03353658536585366
Aconitum napellus,bss,0.021439858019288452,0
Aconitum napellus,gers,0.04903329188401027,0.5217391304347826
Aconitum napellus,hort,0.017956234400101443,0
Aconitum napellus,hypn,0.0012121212121212121,0
Aconitum napellus,jone,0.0023419203747072604,0
Aconitum napellus,mend,0.004168995643808311,0
Aconitum napellus,mont,0.05593918922847271,0
Aconitum napellus,muci,0.011140422795534328,0
Aconitum napellus,pasc,0.031400503535698766,0
Aconitum napellus,prat,0.024540284858115383,0
Aconitum napellus,psit,0.025949173767652305,0
Aconitum napellus,pyre,0.0304781684618945,0
Aconitum napellus,soro,0.026580755342585097,0
Aconitum napellus,wurf,0.029714705977669134,0.011363636363636364
Aconitum vulparia,bss,0.018898472311555538,0.004629629629629629
Aconitum vulparia,gers,0.020987910642875206,0.2857142857142857
Aconitum vulparia,hort,0.019143082210592865,0
Aconitum vulparia,hypn,0.00521966373813275,0
Aconitum vulparia,jone,0.007659285201020801,0
Aconitum vulparia,lapi,0.016171328671328672,0
Aconitum vulparia,mend,0.03869161213167661,0
Aconitum vulparia,mont,0.012703628413040503,0
Aconitum vulparia,muci,0.013418802866632794,0
Aconitum vulparia,pasc,0.01824733722466567,0
Aconitum vulparia,prat,0.01718581048498261,0
Aconitum vulparia,psit,0.013445778755641898,0
Aconitum vulparia,pyre,0.027132614248368166,0
Aconitum vulparia,soro,0.01693166114867068,0
Aconitum vulparia,wurf,0.01772498663498291,0.0029498525073746312
Adenostyles alliariae,bss,0.03425451186722763,0.0109717868338558
Adenostyles alliariae,gers,0.0406365322472705,0
Adenostyles alliariae,hort,0.03421860769695482,0
Adenostyles alliariae,humi,0.012903225806451613,0
Adenostyles alliariae,hypn,0.09943694583860718,0
Adenostyles alliariae,jone,0.04694966040637909,0.024390243902439025
Adenostyles alliariae,lapi,0.019595000253348496,0
Adenostyles alliariae,mend,0.04031681124056061,0
Adenostyles alliariae,mont,0.03968676565487079,0
Adenostyles alliariae,muci,0.029254413328595647,0
Adenostyles alliariae,pasc,0.038732137784617225,0
Adenostyles alliariae,prat,0.0389125850540875,0
Adenostyles alliariae,psit,0.0636583401179688,0.1111111111111111
Adenostyles alliariae,pyre,0.06422598599488921,0
Adenostyles alliariae,soro,0.03735221021101871,0
Adenostyles alliariae,wurf,0.03754778001884428,0
Ajuga reptans,bss,0.02471274328488377,0.0125
Ajuga reptans,hort,0.03861414142785761,0.24528301886792453
Ajuga reptans,humi,0.025806451612903226,0
Ajuga reptans,hypn,0.010673981492118317,0.16666666666666666
Ajuga reptans,jone,0.01602283275423282,0.25
Ajuga reptans,lapi,0.015873015873015872,0
Ajuga reptans,mend,1.960015680125441e-4,0
Ajuga reptans,mont,0.013600042435023656,0
Ajuga reptans,muci,0.004605495394059802,0
Ajuga reptans,pasc,0.0261196546381038,0.3426791277258567
Ajuga reptans,prat,0.027032993444851352,0.061488673139158574
Ajuga reptans,psit,0.029378989851197895,0.10294117647058823
Ajuga reptans,pyre,4.8218877434774325e-4,0
Ajuga reptans,soro,0.030228006554778784,0.025157232704402517
Ajuga reptans,wurf,0.027248426897583913,0.0970464135021097
Alchemilla vulgaris,bss,0.05633109274253958,0
Alchemilla vulgaris,gers,0.021572110717259164,0
Alchemilla vulgaris,hort,0.04725508781096527,0
Alchemilla vulgaris,humi,0.0901212389457332,0
Alchemilla vulgaris,hypn,0.032263196349091375,0
Alchemilla vulgaris,jone,0.05386530778938999,0
Alchemilla vulgaris,lapi,0.03774712688694824,0
Alchemilla vulgaris,mend,0.05465214301508491,0
Alchemilla vulgaris,mont,0.061711285077242946,0
Alchemilla vulgaris,muci,0.024591299455127353,0
Alchemilla vulgaris,pasc,0.04933765152109242,0
Alchemilla vulgaris,prat,0.053501859142988904,0
Alchemilla vulgaris,psit,0.05509367455575275,0
Alchemilla vulgaris,pyre,0.04566167501860458,0
Alchemilla vulgaris,soro,0.04344534118420196,0
Alchemilla vulgaris,wurf,0.050067733094201164,0
Androsace chamaejasme,bss,0.02818382105502363,0.004545454545454545
Androsace chamaejasme,hort,0.02999047436425789,0
Androsace chamaejasme,hypn,0.002726349253789759,0
Androsace chamaejasme,jone,0.03148615105742336,0
Androsace chamaejasme,mend,0.03403031824792307,0
Androsace chamaejasme,mont,0.04594896668459079,0.017543859649122806
Androsace chamaejasme,pasc,0.015936913621190815,0
Androsace chamaejasme,prat,0.016243191471907798,0
Androsace chamaejasme,psit,0.049191442497069096,0
Androsace chamaejasme,pyre,0.02633262755109941,0
Androsace chamaejasme,soro,0.03205428153933449,0
Androsace chamaejasme,wurf,0.03760400283921964,0
Anemone nemorosa,bss,0.12927387799722878,0.014925373134328358
Anemone nemorosa,hort,0.11198023491536714,0
Anemone nemorosa,humi,0.04761904761904762,0
Anemone nemorosa,jone,0.25905797101449274,0
Anemone nemorosa,lapi,0.0625,0
Anemone nemorosa,mont,0.1314935064935065,0
Anemone nemorosa,pasc,0.0999047200704066,0
Anemone nemorosa,prat,0.12785653730915136,0
Anemone nemorosa,psit,0.11926042813954825,0
Anemone nemorosa,soro,0.19862409976977033,0
Anemone nemorosa,wurf,0.13272641183534165,0.006578947368421052
Antennaria dioica,bss,0.00616082575833506,0
Antennaria dioica,hort,0.008693647409070346,0
Antennaria dioica,hypn,0.0037926976655429045,0
Antennaria dioica,jone,0.005967491316897887,0
Antennaria dioica,lapi,7.24112961622013e-4,0
Antennaria dioica,mont,0.003879599456500983,0
Antennaria dioica,pasc,0.004956217805379178,0.018518518518518517
Antennaria dioica,prat,0.007025412319333029,0
Antennaria dioica,psit,0.009082166014240375,0
Antennaria dioica,pyre,0.009259259259259259,0
Antennaria dioica,soro,0.006882987460263854,0
Antennaria dioica,wurf,0.005814684269143838,0
Anthericum ramosum,bss,0.016298538596212348,0.022222222222222223
Anthericum ramosum,gers,0.041666666666666664,0
Anthericum ramosum,hort,0.02043986106233759,0
Anthericum ramosum,hypn,5.208333333333333e-4,0
Anthericum ramosum,jone,5.208333333333333e-4,0
Anthericum ramosum,mont,5.208333333333333e-4,0
Anthericum ramosum,pasc,0.029061989178647076,0
Anthericum ramosum,prat,0.02577536717637642,0
Anthericum ramosum,psit,0.02605517227855269,0
Anthericum ramosum,soro,0.027590039314845643,0.014634146341463415
Anthericum ramosum,wurf,0.026155183363877264,0
Anthyllis vulneraria,bss,0.1284137945611255,0.04205607476635514
Anthyllis vulneraria,gers,0.010129479338194934,0
Anthyllis vulneraria,hort,0.1586240346106051,0.33458646616541354
Anthyllis vulneraria,humi,0.012903225806451613,0
Anthyllis vulneraria,hypn,0.09875893365233494,0.15384615384615385
Anthyllis vulneraria,jone,0.14452294362252116,0
Anthyllis vulneraria,lapi,0.034900157606855546,0
Anthyllis vulneraria,mend,0.06221150686489962,0.125
Anthyllis vulneraria,mont,0.059416216456776964,0.010362694300518135
Anthyllis vulneraria,muci,0.016352218987803955,0.21052631578947367
Anthyllis vulneraria,pasc,0.11453364763603861,0.08620689655172414
Anthyllis vulneraria,prat,0.10277021853569106,0
Anthyllis vulneraria,psit,0.14229330757497896,0
Anthyllis vulneraria,pyre,0.02654210986073865,0
Anthyllis vulneraria,soro,0.1354392653090929,0.011570247933884297
Anthyllis vulneraria,wurf,0.11842433458066882,0.23919915700737618
Aposeris foetida,bss,0.06355100443077463,0.005405405405405406
Aposeris foetida,hort,0.04969196278265256,0
Aposeris foetida,humi,0.0064516129032258064,1
Aposeris foetida,hypn,0.06761906708667405,0
Aposeris foetida,jone,0.10362673751576955,0
Aposeris foetida,lapi,0.026289288672326275,0
Aposeris foetida,mend,0.004294362223750249,0
Aposeris foetida,mont,0.08978552456025328,0.06666666666666667
Aposeris foetida,muci,0.02262591967182091,0
Aposeris foetida,pasc,0.05971579102621527,0
Aposeris foetida,prat,0.05643057278265239,0.009771986970684038
Aposeris foetida,psit,0.059494999143048635,0.13131313131313133
Aposeris foetida,pyre,0.03276401286573909,0
Aposeris foetida,soro,0.07718441435306794,0.013636363636363636
Aposeris foetida,wurf,0.05830887389384088,0.0037174721189591076
Aster bellidiastrum,bss,0.02145592321609937,0
Aster bellidiastrum,hort,0.01938974631846646,0
Aster bellidiastrum,humi,0.019354838709677417,0
Aster bellidiastrum,hypn,0.01854432220091088,0
Aster bellidiastrum,jone,0.01925302308809135,0
Aster bellidiastrum,lapi,0.023814792094769496,0
Aster bellidiastrum,mend,0.0178115460091527,0
Aster bellidiastrum,mont,0.017893993335342775,0
Aster bellidiastrum,muci,0.005996998662577711,0
Aster bellidiastrum,pasc,0.021356256905058036,0
Aster bellidiastrum,prat,0.023288054280081422,0
Aster bellidiastrum,psit,0.028711553055655294,0
Aster bellidiastrum,pyre,0.027592267701964233,0
Aster bellidiastrum,soro,0.021090724513420256,0
Aster bellidiastrum,wurf,0.024121198487646427,0
Bartsia alpina,bss,0.016555798053582597,0.0035842293906810036
Bartsia alpina,hort,0.014553389709072911,0.06
Bartsia alpina,hypn,0.007633587786259542,0
Bartsia alpina,jone,0.013372905180921742,0
Bartsia alpina,lapi,0.007223532285710292,0
Bartsia alpina,mend,0.013878311287313554,0.15384615384615385
Bartsia alpina,mont,0.01705115238300124,0.031914893617021274
Bartsia alpina,muci,0.004455777326324167,0
Bartsia alpina,pasc,0.009989059805706985,0.038461538461538464
Bartsia alpina,prat,0.013463433823553772,0.045454545454545456
Bartsia alpina,psit,0.015791335618148935,0
Bartsia alpina,pyre,0.019645263299572252,0.16666666666666666
Bartsia alpina,soro,0.013038991621732365,0.021739130434782608
Bartsia alpina,wurf,0.01923145674995306,0.00625
Biscutella laevigata,bss,0.037877518884618336,0.00258732212160414
Biscutella laevigata,gers,0.0034722222222222225,0
Biscutella laevigata,hort,0.03452101684783313,0
Biscutella laevigata,humi,0.019354838709677417,0
Biscutella laevigata,hypn,0.027567463967348885,0
Biscutella laevigata,jone,0.060880606554750555,0
Biscutella laevigata,lapi,0.03074675585093967,0
Biscutella laevigata,mend,0.05978636617429206,0
Biscutella laevigata,mont,0.04800035531406123,0
Biscutella laevigata,muci,0.011162790328312957,0
Biscutella laevigata,pasc,0.0364096799464307,0.0033003300330033004
Biscutella laevigata,prat,0.03241831675778145,0
Biscutella laevigata,psit,0.02809905639194904,0
Biscutella laevigata,pyre,0.05312216751558437,0
Biscutella laevigata,soro,0.035395594255004166,0
Biscutella laevigata,wurf,0.03770003358289307,0.005128205128205128
Buphthalmum salicifolium,bss,0.053803774048643734,0.0041841004184100415
Buphthalmum salicifolium,gers,0.060891789393666296,0
Buphthalmum salicifolium,hort,0.06048745437479347,0
Buphthalmum salicifolium,humi,0.0064516129032258064,0
Buphthalmum salicifolium,hypn,0.05841911093196747,0
Buphthalmum salicifolium,jone,0.02323802117908706,0
Buphthalmum salicifolium,lapi,0.039294853007441496,0
Buphthalmum salicifolium,mend,0.1091475936255305,0
Buphthalmum salicifolium,mont,0.04331469134146252,0
Buphthalmum salicifolium,muci,0.016970896435705138,0
Buphthalmum salicifolium,pasc,0.048501824322974355,0
Buphthalmum salicifolium,prat,0.03998972113600134,0
Buphthalmum salicifolium,psit,0.0295885351408511,0
Buphthalmum salicifolium,pyre,0.0671532145379593,0
Buphthalmum salicifolium,soro,0.05079647286534969,0
Buphthalmum salicifolium,wurf,0.055818761946553795,0
Campanula alpina,bss,0.024925274038361245,0
Campanula alpina,hort,0.025173909798689317,0
Campanula alpina,jone,0.04375764993880049,0
Campanula alpina,mend,0.02546220624023828,0
Campanula alpina,mont,0.02726873055397105,0.06666666666666667
Campanula alpina,pasc,0.03508771929824561,0
Campanula alpina,prat,0.03295538929120359,0
Campanula alpina,psit,0.024028065332413157,0
Campanula alpina,pyre,0.032026674431765836,0.4444444444444444
Campanula alpina,soro,0.02153035272583114,0.05555555555555555
Campanula alpina,wurf,0.02600553632444521,0
Campanula cochleariifolia,bss,0.03426323752818118,0
Campanula cochleariifolia,gers,0.02711864406779661,0
Campanula cochleariifolia,hort,0.03230902578257704,0
Campanula cochleariifolia,hypn,0.025534188034188034,0
Campanula cochleariifolia,jone,0.04714912280701755,0
Campanula cochleariifolia,lapi,0.054545454545454536,0
Campanula cochleariifolia,mend,0.06538013347507399,0
Campanula cochleariifolia,mont,0.04541999557925093,0
Campanula cochleariifolia,muci,0.040545514426489536,0
Campanula cochleariifolia,pasc,0.03875897765128426,0
Campanula cochleariifolia,prat,0.03820679736647535,0
Campanula cochleariifolia,psit,0.03726648955019368,0
Campanula cochleariifolia,pyre,0.06338622796902794,0.09090909090909091
Campanula cochleariifolia,soro,0.04693195918181777,0.040983606557377046
Campanula cochleariifolia,wurf,0.048868827232400006,0
Campanula scheuchzeri,bss,0.0366643855494618,0.0048638132295719845
Campanula scheuchzeri,gers,0.03136781997728137,0
Campanula scheuchzeri,hort,0.03328827671426287,0
Campanula scheuchzeri,hypn,0.02568815526407639,0
Campanula scheuchzeri,jone,0.03400666677341003,0
Campanula scheuchzeri,lapi,0.0778618263669309,0
Campanula scheuchzeri,mend,0.0694808533922341,0.02
Campanula scheuchzeri,mont,0.055476177532968456,0
Campanula scheuchzeri,muci,0.0405521503887109,0.02564102564102564
Campanula scheuchzeri,pasc,0.04238690397233093,0
Campanula scheuchzeri,prat,0.04276185703067546,0.008639308855291577
Campanula scheuchzeri,psit,0.052492878398636506,0.007518796992481203
Campanula scheuchzeri,pyre,0.08018290124600565,0.3148148148148148
Campanula scheuchzeri,soro,0.05348716830303336,0.14699331848552338
Campanula scheuchzeri,wurf,0.04328516452864396,0.014957264957264958
Cardamine enneaphyllos,bss,0.02409446659550788,0.016286644951140065
Cardamine enneaphyllos,gers,0.0034722222222222225,0
Cardamine enneaphyllos,hort,0.009405706281086328,0.03278688524590164
Cardamine enneaphyllos,humi,0.0064516129032258064,0
Cardamine enneaphyllos,hypn,0.005138047399582276,0
Cardamine enneaphyllos,jone,0.01497075817735476,0
Cardamine enneaphyllos,lapi,0.001998462163416899,0
Cardamine enneaphyllos,mend,0.011314794676609187,0
Cardamine enneaphyllos,mont,0.018501205606152323,0
Cardamine enneaphyllos,muci,0.0057545937771693294,0
Cardamine enneaphyllos,pasc,0.032241527669371536,0.17486338797814208
Cardamine enneaphyllos,prat,0.03476010537581366,0.07664233576642336
Cardamine enneaphyllos,psit,0.024782350367339258,0.07792207792207792
Cardamine enneaphyllos,pyre,0.011588074720333994,0
Cardamine enneaphyllos,soro,0.020654176279837025,0.03125
Cardamine enneaphyllos,wurf,0.02201389484688294,0.008097165991902834
Carduus defloratus,bss,0.020174708890077008,0.03256846780162842
Carduus defloratus,gers,0.03772709036508261,0
Carduus defloratus,hort,0.018962358142205968,0.0031746031746031746
Carduus defloratus,humi,0.0064516129032258064,0
Carduus defloratus,hypn,0.011407946054638957,0.058823529411764705
Carduus defloratus,jone,0.014523728884952736,0.06153846153846154
Carduus defloratus,lapi,0.01750951749268154,0.06666666666666667
Carduus defloratus,mend,0.03103354243006177,0
Carduus defloratus,mont,0.01674382379647563,0.014035087719298246
Carduus defloratus,muci,0.02412988873816179,0.24390243902439024
Carduus defloratus,pasc,0.023996714308506327,0.0633587786259542
Carduus defloratus,prat,0.024431282029322193,0.11177644710578842
Carduus defloratus,psit,0.02332051905909204,0.4
Carduus defloratus,pyre,0.02712639865220677,0.05714285714285714
Carduus defloratus,soro,0.024001445989744793,0.24694835680751173
Carduus defloratus,wurf,0.022882991974249985,0.0125
Carex ericetorum,bss,0.01864006870302569,0
Carex ericetorum,hort,0.023811506891727053,0
Carex ericetorum,jone,0.04166666666666667,0
Carex ericetorum,pasc,0.016390934886019982,0
Carex ericetorum,prat,0.018432522726275935,0
Carex ericetorum,psit,0.017766011216784814,0
Carex ericetorum,soro,0.015492633254135371,0
Carex ericetorum,wurf,0.017843078242344514,0
Carlina vulgaris,bss,0,1
Carlina vulgaris,gers,0,1
Carlina vulgaris,hort,0.016944444444444446,0.4
Carlina vulgaris,hypn,0,1
Carlina vulgaris,mont,0,1
Carlina vulgaris,muci,0,1
Carlina vulgaris,pasc,0.008818952203802409,0.23529411764705882
Carlina vulgaris,prat,0.002777777777777778,0.2857142857142857
Carlina vulgaris,psit,0,1
Carlina vulgaris,pyre,0,0.25
Carlina vulgaris,soro,0.01758274231678487,0.13333333333333333
Carlina vulgaris,wurf,0.0039869281045751635,0.4155844155844156
Carum carvi,bss,0.03205364226785728,0.00273224043715847
Carum carvi,hort,0.02609917433417671,0
Carum carvi,humi,0.012903225806451613,0
Carum carvi,hypn,0.00941530634743169,0
Carum carvi,jone,0.04334725266827398,0
Carum carvi,lapi,0.054364786922138544,0
Carum carvi,mend,0.005,0
Carum carvi,mont,0.057285640017975856,0
Carum carvi,pasc,0.03438590274287443,0
Carum carvi,prat,0.0319730159246404,0
Carum carvi,psit,0.031994098472499566,0
Carum carvi,soro,0.029556191558315435,0
Carum carvi,wurf,0.03237078993990201,0
Centaurea jacea,bss,0.07493949491160407,0.125
Centaurea jacea,gers,0.043147498656877274,0
Centaurea jacea,hort,0.06679035859623277,0.04672897196261682
Centaurea jacea,humi,0.004242755604155276,0
Centaurea jacea,hypn,0.22546245183078237,0.3333333333333333
Centaurea jacea,jone,0.02863354476750391,0
Centaurea jacea,lapi,0.23518951983691486,0.5185185185185185
Centaurea jacea,mend,0.028333333333333332,0
Centaurea jacea,mont,0.005054616941145964,0
Centaurea jacea,pasc,0.08375849483877044,0.14736842105263157
Centaurea jacea,prat,0.07409493629988821,0.045307443365695796
Centaurea jacea,psit,0.05551661388254296,0.08588957055214724
Centaurea jacea,pyre,0.013283440766233293,0
Centaurea jacea,soro,0.10161615477713672,0.44426229508196724
Centaurea jacea,wurf,0.05311451684722696,0.007849293563579277
Centaurea scabiosa,bss,0.04767474844694581,0.09523809523809523
Centaurea scabiosa,hort,0.054826252360906144,0.07692307692307693
Centaurea scabiosa,jone,0.08356545961002786,0
Centaurea scabiosa,lapi,0.031088082901554404,0
Centaurea scabiosa,pasc,0.04023879208087328,0
Centaurea scabiosa,prat,0.03389198171552333,0.14285714285714285
Centaurea scabiosa,psit,0.06264449205047247,0.46875
Centaurea scabiosa,soro,0.04229483246043323,0.1
Centaurea scabiosa,wurf,0.04814623373757241,0.18181818181818182
Chaerophyllum hirsutum,bss,0.1327987733979625,0.09510869565217392
Chaerophyllum hirsutum,gers,0.2701924869500373,0
Chaerophyllum hirsutum,hort,0.1696689365236688,0.007874015748031496
Chaerophyllum hirsutum,humi,0.09745215965008201,0
Chaerophyllum hirsutum,hypn,0.15379472235136732,0.09090909090909091
Chaerophyllum hirsutum,jone,0.13064289014926356,0
Chaerophyllum hirsutum,lapi,0.05692282091862665,0
Chaerophyllum hirsutum,mend,0.05159116014791163,0
Chaerophyllum hirsutum,mont,0.13206347356269196,0
Chaerophyllum hirsutum,muci,0.2630131573997067,0
Chaerophyllum hirsutum,pasc,0.12319408346071387,0.0020325203252032522
Chaerophyllum hirsutum,prat,0.13722080166414932,0.005376344086021506
Chaerophyllum hirsutum,psit,0.1603611771273491,0.006024096385542169
Chaerophyllum hirsutum,pyre,0.08944425134677374,0
Chaerophyllum hirsutum,soro,0.11080451200813621,0
Chaerophyllum hirsutum,wurf,0.07375625226235337,0
Chrysosplenium alternifolium,bss,0.03745729483278261,0.03125
Chrysosplenium alternifolium,hort,0.03031671772688712,0
Chrysosplenium alternifolium,humi,0.11904761904761905,0
Chrysosplenium alternifolium,mont,0.012506012506012505,0
Chrysosplenium alternifolium,pasc,0.029556481632995173,0
Chrysosplenium alternifolium,prat,0.0437406517432031,0.01818181818181818
Chrysosplenium alternifolium,psit,0.03828122254489122,0
Chrysosplenium alternifolium,soro,0.024751986390321334,0
Chrysosplenium alternifolium,wurf,0.031602052278147705,0
Cirsium arvense,bss,0.014526155898159665,0
Cirsium arvense,gers,0.02870723877903774,0.14285714285714285
Cirsium arvense,hort,0.021039195822466952,0
Cirsium arvense,humi,0.0064516129032258064,0
Cirsium arvense,hypn,0.00579416282642089,0
Cirsium arvense,jone,0.0062499999999999995,0
Cirsium arvense,lapi,0.010949148942781612,0
Cirsium arvense,mont,0.007177033492822967,0
Cirsium arvense,pasc,0.020564070930281786,0.030927835051546393
Cirsium arvense,prat,0.02135141901949541,0.05660377358490566
Cirsium arvense,psit,0.025054682484958155,0.3548387096774194
Cirsium arvense,soro,0.012485658294766132,0.04054054054054054
Cirsium arvense,wurf,0.02100980036947309,0.006756756756756757
Cirsium oleraceum,bss,0.030697861465320997,0
Cirsium oleraceum,hort,0.032121140896555725,0
Cirsium oleraceum,jone,0.022284122562674095,0
Cirsium oleraceum,lapi,0.05181347150259068,0
Cirsium oleraceum,pasc,0.025431359411923555,0.04819277108433735
Cirsium oleraceum,prat,0.012954524277892749,0.14285714285714285
Cirsium oleraceum,psit,0.028383695873293913,0
Cirsium oleraceum,soro,0.030718678646629378,0
Cirsium oleraceum,wurf,0.03184843841496315,0
Cirsium palustre,bss,0.0380003988500885,0
Cirsium palustre,gers,0.03380952380952381,0
Cirsium palustre,hort,0.027092215110174088,0
Cirsium palustre,hypn,0.02150537634408602,0
Cirsium palustre,jone,0.006825938566552901,0
Cirsium palustre,lapi,0.010416666666666666,0
Cirsium palustre,pasc,0.027435444702885864,0
Cirsium palustre,prat,0.028144633399058424,0.018867924528301886
Cirsium palustre,psit,0.04058543641317992,0.08333333333333333
Cirsium palustre,soro,0.016199116412170433,0
