plant.sp,genus,species,k.type
Achillea atrata,Achillea,atrata,7.2c
Achillea clavennae,Achillea,clavennae,7.2c
Achillea collina,Achillea,collina,7.2c
Achillea millefolium,Achillea,millefolium,7.2c
Achillea pannonica,Achillea,pannonica,7.2c
Achillea pratensis,Achillea,pratensis,7.2c
Achillea roseoalba,Achillea,roseoalba,7.2c
Achillea setacea,Achillea,setacea,7.2c
Acinos alpinus,Acinos,alpinus,5.1
Aconitum degenii,Aconitum,degenii,5.2
Aconitum lycoctonum,Aconitum,lycoctonum,5.2
Aconitum vulparia,Aconitum,vulparia,5.2
Aconitum napellus,Aconitum,napellus,5.2
Aconitum plicatum,Aconitum,plicatum,5.2
Aconitum tauricum,Aconitum,tauricum,5.2
Aconitum variegatum,Aconitum,variegatum,5.2
Adenostyles alliariae,Adenostyles,alliariae,7.2a
Adenostyles glabra,Adenostyles,glabra,7.2a
Aegopodium podagraria,Aegopodium,podagraria,1.2a
Agrostis alpina,Agrostis,alpina,0
Agrostis capillaris,Agrostis,capillaris,0
Agrostis schleicheri,Agrostis,schleicheri,0
Ajuga reptans,Ajuga,reptans,5.1
Alchemilla alpigena,Alchemilla,alpigena,1.2a
Alchemilla cleistophylla,Alchemilla,cleistophylla,1.2a
Alchemilla connivens,Alchemilla,connivens,1.2a
Alchemilla coriacea,Alchemilla,coriacea,1.2a
Alchemilla crinita,Alchemilla,crinita,1.2a
Alchemilla cymatophylla,Alchemilla,cymatophylla,1.2a
Alchemilla decumbens,Alchemilla,decumbens,1.2a
Alchemilla effusa,Alchemilla,effusa,1.2a
Alchemilla filicaulis,Alchemilla,filicaulis,1.2a
Alchemilla fissa,Alchemilla,fissa,1.2a
Alchemilla glabra,Alchemilla,glabra,1.2a
Alchemilla glaucescens,Alchemilla,glaucescens,1.2a
Alchemilla glomerulans,Alchemilla,glomerulans,1.2a
Alchemilla hoppeana,Alchemilla,hoppeana,1.2a
Alchemilla impexa,Alchemilla,impexa,1.2a
Alchemilla lineata,Alchemilla,lineata,1.2a
