plant.sp,plant.genus,plant.family
Achillea atrata,Achillea,Asteraceae
Achillea clavennae,Achillea,Asteraceae
Achillea millefolium,Achillea,Asteraceae
Acinos alpinus,Acinos,Lamiaceae
Aconitum napellus,Aconitum,Ranunculaceae
Aconitum variegatum,Aconitum,Ranunculaceae
Aconitum vulparia,Aconitum,Ranunculaceae
Adenostyles alliariae,Adenostyles,Asteraceae
Adenostyles glabra,Adenostyles,Asteraceae
Aegopodium podagraria,Aegopodium,Apiaceae
Agrostis alpina,Agrostis,Poaceae
Agrostis capillaris,Agrostis,Poaceae
Agrostis schleicheri,Agrostis,Poaceae
Ajuga reptans,Ajuga,Lamiaceae
Alchemilla conjuncta,Alchemilla,Rosaceae
Alchemilla vulgaris,Alchemilla,Rosaceae
Allium carinatum,Allium,Amaryllidaceae
Androsace chamaejasme,Androsace,Primulaceae
Anemone narcissiflora,Anemone,Ranunculaceae
Anemone nemorosa,Anemone,Ranunculaceae
Antennaria dioica,Antennaria,Asteraceae
Anthericum ramosum,Anthericum,Asparagaceae
Anthoxanthum alpinum,Anthoxanthum,Poaceae
Anthoxanthum odoratum,Anthoxanthum,Poaceae
Anthriscus sylvestris,Anthriscus,Apiaceae
Anthyllis vulneraria,Anthyllis,Fabaceae
Aposeris foetida,Aposeris,Asteraceae
Aquilegia atrata,Aquilegia,Ranunculaceae
Arabis alpina,Arabis,Brassicaceae
Arabis caerulea,Arabis,Brassicaceae
Arabis ciliata,Arabis,Brassicaceae
Arabis hirsuta,Arabis,Brassicaceae
Arabis pumila,Arabis,Brassicaceae
Arabis sagittata,Arabis,Brassicaceae
Arctous alpina,Arctous,Ericaceae
Arenaria ciliata,Arenaria,Caryophyllaceae
Arrhenatherum elatius,Arrhenatherum,Poaceae
Aster bellidiastrum,Aster,Asteraceae
Bartsia alpina,Bartsia,Orobanchaceae
Bellis perennis,Bellis,Asteraceae
Berberis vulgaris,Berberis,Berberidaceae
Biscutella laevigata,Biscutella,Brassicaceae
Brachypodium pinnatum,Brachypodium,Poaceae
Brachypodium sylvaticum,Brachypodium,Poaceae
Briza media,Briza,Poaceae
Buphthalmum salicifolium,Buphthalmum,Asteraceae
Calamagrostis varia,Calamagrostis,Poaceae
Calamintha clinopodium,Calamintha,Lamiaceae
Calluna vulgaris,Calluna,Ericaceae
Campanula alpina,Campanula,Campanulaceae
Campanula cochleariifolia,Campanula,Campanulaceae
Campanula glomerata,Campanula,Campanulaceae
Campanula patula,Campanula,Campanulaceae
Campanula scheuchzeri,Campanula,Campanulaceae
Campanula trachelium,Campanula,Campanulaceae
Cardamine enneaphyllos,Cardamine,Brassicaceae
Cardamine pratensis,Cardamine,Brassicaceae
Carduus defloratus,Carduus,Asteraceae
Carex alba,Carex,Cyperaceae
Carex atrata,Carex,Cyperaceae
Carex caryophyllea,Carex,Cyperaceae
Carex digitata,Carex,Cyperaceae
Carex ericetorum,Carex,Cyperaceae
Carex ferruginea,Carex,Cyperaceae
Carex firma,Carex,Cyperaceae
Carex flacca,Carex,Cyperaceae
Carex leporina,Carex,Cyperaceae
Carex nigra,Carex,Cyperaceae
Carex pallescens,Carex,Cyperaceae
Carex panicea,Carex,Cyperaceae
Carex sempervirens,Carex,Cyperaceae
Carlina acaulis,Carlina,Asteraceae
Carlina vulgaris,Carlina,Asteraceae
Carum carvi,Carum,Apiaceae
Centaurea jacea,Centaurea,Asteraceae
Centaurea scabiosa,Centaurea,Asteraceae
Cephalanthera longifolia,Cephalanthera,Orchidaceae
Cerastium fontanum,Cerastium,Caryophyllaceae
Cerastium latifolium,Cerastium,Caryophyllaceae
Chaerophyllum hirsutum,Chaerophyllum,Apiaceae
Chrysosplenium alternifolium,Chrysosplenium,Saxifragaceae
Cirsium arvense,Cirsium,Asteraceae
Cirsium oleraceum,Cirsium,Asteraceae
Cirsium palustre,Cirsium,Asteraceae
Cirsium spinosissimum,Cirsium,Asteraceae
Cirsium vulgare,Cirsium,Asteraceae
Clinopodium vulgare,Clinopodium,Lamiaceae
Coeloglossum viride,Coeloglossum,Orchidaceae
Convallaria majalis,Convallaria,Asparagaceae
Crepis alpestris,Crepis,Asteraceae
Crepis aurea,Crepis,Asteraceae
Crepis biennis,Crepis,Asteraceae
Crepis paludosa,Crepis,Asteraceae
Crepis terglouensis,Crepis,Asteraceae
Crocus albiflorus,Crocus,Iridaceae
Cruciata laevipes,Cruciata,Rubiaceae
Cuscuta epithymum,Cuscuta,Convolvulaceae
Cynosurus cristatus,Cynosurus,Poaceae
