year,dayofyear,site,trap.time,caste,pollen,bb.sp,bb.sp.lat,plant.sp.abb,plant.sp,plant.genus,day,month,date
2010,142,h1,11:00:00,queen,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,Ajuga,23,5,2010-05-23
2010,142,h1,10:50:00,queen,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,Ajuga,23,5,2010-05-23
2010,131,h1,14:35:00,queen,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,Ajuga,12,5,2010-05-12
2010,131,h1,15:00:00,queen,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,Ajuga,12,5,2010-05-12
2010,142,h1,10:55:00,queen,nopollen,pasc,Bombus pascuorum,Bis.lae,Biscutella laevigata,Biscutella,23,5,2010-05-23
2010,198,h1,09:20:00,worker,pollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,Centaurea,18,7,2010-07-18
2010,244,h1,10:55:00,male,NA,soro,Bombus soroeensis,Cen.jac,Centaurea jacea,Centaurea,2,9,2010-09-02
2010,244,h1,11:05:00,worker,nopollen,soro,Bombus soroeensis,Cen.jac,Centaurea jacea,Centaurea,2,9,2010-09-02
2010,244,h1,10:55:00,worker,nopollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,Centaurea,2,9,2010-09-02
2010,244,h1,11:20:00,male,NA,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,Centaurea,2,9,2010-09-02
2010,198,h1,10:15:00,worker,nopollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,Centaurea,18,7,2010-07-18
2010,244,h1,11:25:00,worker,pollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,Centaurea,2,9,2010-09-02
2010,244,h1,11:50:00,male,NA,pasc,Bombus pascuorum,Cli.vul,Clinopodium vulgare,Clinopodium,2,9,2010-09-02
2010,168,h1,12:45:00,queen,pollen,pasc,Bombus pascuorum,Dac.mac,Dactylorhiza maculata,Dactylorhiza,18,6,2010-06-18
2010,244,h1,11:10:00,worker,pollen,pasc,Bombus pascuorum,Eup.ros,Euphrasia rostkoviana,Euphrasia,2,9,2010-09-02
2010,234,h1,18:25:00,worker,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,Gentiana,23,8,2010-08-23
2010,234,h1,18:40:00,worker,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,Gentiana,23,8,2010-08-23
2010,234,h1,18:50:00,worker,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,Gentiana,23,8,2010-08-23
2010,234,h1,18:25:00,worker,nopollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,Gentiana,23,8,2010-08-23
