site,elev.mean,date,yday,bb.sp,ktype,visits,prop.visits,flower.cover,perc.flower.cover,bb.sp.abund,tongue,elev.mean0,yday0,prop.flower.cover0,bb.sp.abund0,visits.bin
h1,817,2010-05-12,132,pasc,1,1,0.16666666666666666,6.62,43.61001317523056,6,med,-1.3332435961488247,-1.6302558293507523,5.659733606867412,0.3431142814522651,1
h1,817,2010-05-12,132,pasc,2,0,0,0.5,3.293807641633729,6,med,-1.3332435961488247,-1.6302558293507523,-0.0946126792711006,0.3431142814522651,0
h1,817,2010-05-12,132,pasc,3,0,0,0.2,1.3175230566534917,6,med,-1.3332435961488247,-1.6302558293507523,-0.37668847761122376,0.3431142814522651,0
h1,817,2010-05-12,132,pasc,4,0,0,4.71,31.027667984189723,6,med,-1.3332435961488247,-1.6302558293507523,3.863851024101961,0.3431142814522651,0
h1,817,2010-05-12,132,pasc,5,2,0.3333333333333333,0.36,2.371541501976284,6,med,-1.3332435961488247,-1.6302558293507523,-0.2262480518298248,0.3431142814522651,1
h1,817,2010-05-12,132,pasc,6,3,0.5,1.81,11.923583662714098,6,med,-1.3332435961488247,-1.6302558293507523,1.1371183068141038,0.3431142814522651,1
h1,817,2010-05-12,132,pasc,7,0,0,0.98,6.455862977602108,6,med,-1.3332435961488247,-1.6302558293507523,0.3567085980730965,0.3431142814522651,0
h1,817,2010-05-23,143,pasc,0,0,0,0.02,0.04125412541254125,3,med,-1.3332435961488247,-1.3095377539224544,-0.5588507939155262,-0.20823691740682979,0
h1,817,2010-05-23,143,pasc,1,1,0.3333333333333333,6.03,12.438118811881187,3,med,-1.3332435961488247,-1.3095377539224544,1.2105580907796367,-0.20823691740682979,1
h1,817,2010-05-23,143,pasc,2,0,0,0.48000000000000004,0.9900990099009901,3,med,-1.3332435961488247,-1.3095377539224544,-0.4234218276992574,-0.20823691740682979,0
h1,817,2010-05-23,143,pasc,3,0,0,0.2,0.4125412541254125,3,med,-1.3332435961488247,-1.3095377539224544,-0.5058568506135079,-0.20823691740682979,0
h1,817,2010-05-23,143,pasc,4,0,0,7.01,14.459570957095707,3,med,-1.3332435961488247,-1.3095377539224544,1.4990806709795133,-0.20823691740682979,0
h1,817,2010-05-23,143,pasc,5,2,0.6666666666666666,0.95,1.9595709570957094,3,med,-1.3332435961488247,-1.3095377539224544,-0.2850487535217655,-0.20823691740682979,1
h1,817,2010-05-23,143,pasc,6,0,0,2.81,5.796204620462046,3,med,-1.3332435961488247,-1.3095377539224544,0.2625553272657557,-0.20823691740682979,0
h1,817,2010-05-23,143,pasc,7,0,0,6.74,13.902640264026402,3,med,-1.3332435961488247,-1.3095377539224544,1.4195897560264863,-0.20823691740682979,0
h1,817,2010-05-23,143,wurf,0,0,0,0.02,0.04125412541254125,1,med,-1.3332435961488247,-1.3095377539224544,-0.5588507939155262,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,1,0,0,6.03,12.438118811881187,1,med,-1.3332435961488247,-1.3095377539224544,1.2105580907796367,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,2,0,0,0.48000000000000004,0.9900990099009901,1,med,-1.3332435961488247,-1.3095377539224544,-0.4234218276992574,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,3,0,0,0.2,0.4125412541254125,1,med,-1.3332435961488247,-1.3095377539224544,-0.5058568506135079,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,4,0,0,7.01,14.459570957095707,1,med,-1.3332435961488247,-1.3095377539224544,1.4990806709795133,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,5,0,0,0.95,1.9595709570957094,1,med,-1.3332435961488247,-1.3095377539224544,-0.2850487535217655,-0.575804383312893,0
h1,817,2010-05-23,143,wurf,6,1,1,2.81,5.796204620462046,1,med,-1.3332435961488247,-1.3095377539224544,0.2625553272657557,-0.575804383312893,1
h1,817,2010-05-23,143,wurf,7,0,0,6.74,13.902640264026402,1,med,-1.3332435961488247,-1.3095377539224544,1.4195897560264863,-0.575804383312893,0
h1,817,2010-06-18,169,pasc,0,0,0,0.04,0.8385744234800837,5,med,-1.3332435961488247,-0.5514768483646593,-0.44504898555277145,0.15933054849923345,0
h1,817,2010-06-18,169,pasc,1,0,0,0.62,12.997903563941298,5,med,-1.3332435961488247,-0.5514768483646593,1.2904563665826445,0.15933054849923345,0
h1,817,2010-06-18,169,pasc,2,0,0,0.04,0.8385744234800837,5,med,-1.3332435961488247,-0.5514768483646593,-0.44504898555277145,0.15933054849923345,0
