site,elev.class,management,temp.mean,elev.mean,transect,slope.calc,slope.est,elev.min,elev.max,lat,lon,elev.class2,tree_line
h1,mitte,grasing,14.23729352,817,Hintersee,0,0,817,817,47.590633,12.836133,low,below
h2,mitte,grasing,14.99841068,987,Hintersee,25.8,25,972,1001,47.574683,12.800967,mid,below
h3,mitte,grasing,13.14553138,1105,Hintersee,13.13,32,1098,1112,47.5607,12.79875,mid,below
h4,mitte,grasing,12.53703704,1330,Hintersee,11.31,10,1324,1336,47.557383,12.807417,mid,below
h5,oben,none,12.01896392,1579,Hintersee,14.93,15,1571,1587,47.5593,12.816433,high,below
h6,oben,none,10.82947173,1808,Hintersee,29.54,20,1791,1825,47.555367,12.822917,high,above
h7,oben,none,9.815277778,1984,Hintersee,28.81,30,1967,2000,47.552167,12.829933,high,above
ho1,mitte,grasing,15.80029806,841,Hintersee (Ost),25.02,20,827,855,47.604083,12.880783,low,below
ho2,mitte,grasing,12.30812221,1045,Hintersee (Ost),8.53,5,1040,1049,47.588917,12.893233,mid,below
ho3,mitte,none,11.3866171,1333,Hintersee (Ost),7.59,5,1329,1337,47.584583,12.8873,mid,below
ho4,oben,none,12.01419414,1552,Hintersee (Ost),26.57,15,1537,1567,47.583083,12.881717,high,above
ho5,oben,grasing,10.84661172,1825,Hintersee (Ost),19.29,8,1814,1835,47.5778,12.877,high,above
t1,unten,mowing,14.95206349,714,Tal,25.8,35,699,728,47.609817,12.8992,low,below
t2,unten,mowing,14.92774194,720,Tal,46.85,30,688,752,47.6087,12.91205,low,below
t3,unten,mowing,14.83118141,656,Tal,25.02,30,642,670,47.6056,12.918467,low,below
t4,unten,mowing,14.90148579,641,Tal,17.57,28,631,650,47.612417,12.942383,low,below
t5,unten,mowing,14.625323,746,Tal,11.31,15,740,752,47.604817,12.946317,low,below
w1,mitte,none,14.59194215,816,Wimbachtal,7.59,2,812,820,47.58035,12.905717,low,NA
w2,mitte,none,14.73588154,1017,Wimbachtal,30.96,30,999,1035,47.5697,12.894367,mid,NA
w3,mitte,none,12.33276913,1162,Wimbachtal,4.76,5,1159,1164,47.553233,12.884633,mid,NA
w4,mitte,none,13.03351388,1237,Wimbachtal,4.76,7,1234,1239,47.548783,12.87785,mid,NA
w5,mitte,none,12.87168561,1448,Wimbachtal,15.82,5,1439,1456,47.53155,12.897883,mid,NA
w6,oben,none,10.95695364,1803,Wimbachtal,19.29,20,1792,1813,47.52605,12.914617,high,NA
w7,oben,none,10.15736671,2020,Wimbachtal,10.39,15,2014,2025,47.528133,12.9184,high,NA
wma1,mitte,grasing,15.43021277,766,Watzmann 1,16.7,10,757,775,47.596033,12.924383,low,below
wma2,mitte,grasing,13.58095238,1245,Watzmann 1,10.39,10,1239,1250,47.583517,12.940933,mid,below
wma3,mitte,grasing,12.84488735,1423,Watzmann 1,15.82,20,1414,1431,47.5778,12.943317,mid,below
wma4,oben,none,10.86246673,1773,Watzmann 1,25.02,20,1759,1787,47.574517,12.923983,high,above
wma5,oben,none,7.949565217,2032,Watzmann 1,28.07,30,2016,2048,47.5683,12.930633,high,above
wmb1,mitte,grasing,13.69545104,960,Watzmann 2,11.31,10,954,966,47.590483,12.94405,mid,below
wmb2,mitte,grasing,13.15056413,1140,Watzmann 2,19.29,10,1129,1150,47.57715,12.955817,mid,below
wmb3,mitte,grasing,12.26573129,1420,Watzmann 2,1.91,7,1419,1421,47.569167,12.962033,mid,below
wmb4,oben,grasing,11.58723958,1655,Watzmann 2,17.57,20,1645,1664,47.571617,12.9406,high,above
wmb5,oben,none,11.10609989,1813,Watzmann 2,30.96,30,1795,1831,47.571583,12.93625,high,above
