site,date,elevation,Daylength_min,Julian,pred_Tmean_day
h1,2010-01-01,819,483,14610,1.54499945663666
h1,2010-01-02,819,484,14611,-5.87952183839169
h1,2010-01-03,819,485,14612,-8.1220218383918
h1,2010-01-04,819,486,14613,-6.72118850505842
h1,2010-01-05,819,488,14614,-2.95118850505843
h1,2010-01-06,819,489,14615,-2.86702183839177
h1,2010-01-07,819,491,14616,-4.16452183839173
h1,2010-01-08,819,493,14617,-1.56035517172509
h1,2010-01-09,819,494,14618,-1.47952183839174
h1,2010-01-10,819,497,14619,-3.52868850505838
h1,2010-01-11,819,498,14620,-4.70118850505848
h1,2010-01-12,819,500,14621,-3.64868850505838
h1,2010-01-13,819,503,14622,-1.51368850505845
h1,2010-01-14,819,504,14623,-0.41952183839184
h1,2010-01-15,819,507,14624,-1.42285517172515
h1,2010-01-16,819,509,14625,0.884644828274904
h1,2010-01-17,819,512,14626,1.35681763845459
h1,2010-01-18,819,514,14627,-1.79618850505836
h1,2010-01-19,819,517,14628,-2.10868850505846
h1,2010-01-20,819,520,14629,-2.74368850505846
h1,2010-01-21,819,522,14630,-2.82618850505841
h1,2010-01-22,819,525,14631,-2.99785517172509
h1,2010-01-23,819,528,14632,0.0688114949415422
h1,2010-01-24,819,530,14633,0.365478161608204
h1,2010-01-25,819,533,14634,-1.17952183839176
h1,2010-01-26,819,536,14635,-5.05035517172517
h1,2010-01-27,819,539,14636,-6.78202183839186
h1,2010-01-28,819,542,14637,-4.80368850505848
h1,2010-01-29,819,545,14638,-3.79618850505847
h1,2010-01-30,819,549,14639,-5.30118850505843
h1,2010-01-31,819,551,14640,-8.7103551717252
h1,2010-02-01,819,555,14641,-8.11868850505858
h1,2010-02-02,819,558,14642,-6.12202183839177
h1,2010-02-03,819,562,14643,0.128811494941517
h1,2010-02-04,819,564,14644,3.13464482827486
h1,2010-02-05,819,568,14645,4.15631149494156
h1,2010-02-06,819,571,14646,-0.411188505058548
h1,2010-02-07,819,575,14647,-2.74202183839179
h1,2010-02-08,819,578,14648,-2.92785517172512
h1,2010-02-09,819,581,14649,-2.04785517172518
h1,2010-02-10,819,585,14650,-6.07868850505844
h1,2010-02-11,819,589,14651,-8.6153551717252
h1,2010-02-12,819,593,14652,-7.25785517172516
h1,2010-02-13,819,596,14653,-6.56452183839192
h1,2010-02-14,819,599,14654,-5.13702183839187
h1,2010-02-15,819,603,14655,-5.14452183839189
h1,2010-02-16,819,607,14656,-2.2220218383919
h1,2010-02-17,819,610,14657,4.99964482827481
h1,2010-02-18,819,614,14658,4.65631149494147
h1,2010-02-19,819,618,14659,4.32464482827485
h1,2010-02-20,819,622,14660,-3.67285517172518
h1,2010-02-21,819,625,14661,-2.46452183839188
h1,2010-02-22,819,629,14662,3.11881149494153
h1,2010-02-23,819,633,14663,5.13714482827482
h1,2010-02-24,819,637,14664,3.98964482827485
h1,2010-02-25,819,640,14665,3.82547816160816
h1,2010-02-26,819,644,14666,2.72547816160814
h1,2010-02-27,819,648,14667,1.67297816160812
h1,2010-02-28,819,652,14668,7.90214482827487
h1,2010-03-01,819,655,14669,2.51214482827488
h1,2010-03-02,819,659,14670,0.552978161608201
h1,2010-03-03,819,663,14671,-0.728688505058551
h1,2010-03-04,819,666,14672,-1.85452183839188
h1,2010-03-05,819,671,14673,-8.46202183839192
h1,2010-03-06,819,675,14674,-7.31285517172525
h1,2010-03-07,819,678,14675,-8.02202183839183
h1,2010-03-08,819,682,14676,-9.87868850505864
h1,2010-03-09,819,686,14677,-9.21618850505854
h1,2010-03-10,819,690,14678,-2.78952183839198
h1,2010-03-11,819,694,14679,-4.29118850505854
h1,2010-03-12,819,698,14680,-4.25118850505848
h1,2010-03-13,819,702,14681,-3.65118850505862
h1,2010-03-14,819,705,14682,-2.695355171725
h1,2010-03-15,819,709,14683,-2.41702183839182
h1,2010-03-16,819,714,14684,-0.864521838391864
h1,2010-03-17,819,717,14685,1.89547816160819
h1,2010-03-18,819,721,14686,6.52964482827482
h1,2010-03-19,819,724,14687,8.53131149494143
h1,2010-03-20,819,729,14688,10.1821448282748
h1,2010-03-21,819,733,14689,8.99047816160814
h1,2010-03-22,819,736,14690,6.4113114949414
h1,2010-03-23,819,740,14691,7.52297816160817
h1,2010-03-24,819,744,14692,9.8554781616081
h1,2010-03-25,819,748,14693,10.2579781616081
h1,2010-03-26,819,752,14694,9.68547816160805
h1,2010-03-27,819,756,14695,3.80797816160818
h1,2010-03-28,819,759,14696,3.37797816160809
h1,2010-03-29,819,764,14697,7.55214482827476
h1,2010-03-30,819,767,14698,9.13131149494146
h1,2010-03-31,819,771,14699,2.22214482827474
h1,2010-04-01,819,775,14700,-0.122855171725261
h1,2010-04-02,819,779,14701,-0.423688505058494
h1,2010-04-03,819,783,14702,5.51297816160809
h1,2010-04-04,819,786,14703,5.06131149494142
h1,2010-04-05,819,790,14704,0.861311494941473
h1,2010-04-06,819,794,14705,3.60631149494138
h1,2010-04-07,819,798,14706,9.13131149494146
h1,2010-04-08,819,802,14707,9.43464482827479
h1,2010-04-09,819,806,14708,7.63047816160805
h1,2010-04-10,819,809,14709,2.79547816160808
h1,2010-04-11,819,813,14710,-0.633688505058531
h1,2010-04-12,819,816,14711,0.129644828274606
h1,2010-04-13,819,820,14712,2.18464482827494
h1,2010-04-14,819,825,14713,2.06381149494127
h1,2010-04-15,819,828,14714,2.84214482827455
h1,2010-04-16,819,832,14715,4.60047816160812
h1,2010-04-17,819,836,14716,6.39131149494143
h1,2010-04-18,819,839,14717,7.10214482827474
h1,2010-04-19,819,843,14718,7.54214482827467
h1,2010-04-20,819,846,14719,7.79047816160808
h1,2010-04-21,819,850,14720,5.98131149494139
h1,2010-04-22,819,854,14721,5.26381149494143
h1,2010-04-23,819,857,14722,9.37464482827475
h1,2010-04-24,819,861,14723,11.0379781616081
h1,2010-04-25,819,864,14724,12.8354781616081
