site,date,bb.sp,plant.sp,visits
h1,2010-05-12,pasc,Ajuga reptans,2
h1,2010-05-12,pasc,Polygala chamaebuxus,3
h1,2010-05-12,pasc,Ranunculus acris,1
h1,2010-05-23,pasc,Ajuga reptans,2
h1,2010-05-23,pasc,Biscutella laevigata,1
h1,2010-05-23,pasc,Polygala chamaebuxus,0
h1,2010-05-23,wurf,Ajuga reptans,0
h1,2010-05-23,wurf,Biscutella laevigata,0
h1,2010-05-23,wurf,Polygala chamaebuxus,1
h1,2010-06-18,pasc,Dactylorhiza maculata,1
h1,2010-06-18,pasc,Phyteuma orbiculare,0
h1,2010-06-18,pasc,Trifolium pratense,4
h1,2010-06-18,prat,Dactylorhiza maculata,0
h1,2010-06-18,prat,Phyteuma orbiculare,1
h1,2010-06-18,prat,Trifolium pratense,0
h1,2010-06-18,soro,Dactylorhiza maculata,0
h1,2010-06-18,soro,Phyteuma orbiculare,1
h1,2010-06-18,soro,Trifolium pratense,0
h1,2010-06-30,pasc,Prunella vulgaris,1
h1,2010-07-12,pasc,Lotus corniculatus,1
h1,2010-07-12,pasc,Prunella vulgaris,6
h1,2010-07-12,pasc,Trifolium pratense,1
h1,2010-07-18,pasc,Centaurea jacea,2
h1,2010-07-18,pasc,Lotus corniculatus,7
h1,2010-07-18,pasc,Prunella vulgaris,2
h1,2010-07-18,pasc,Prunella vulgaris,2
h1,2010-07-18,pasc,Trifolium pratense,8
h1,2010-07-18,pasc,Trifolium pratense,5
h1,2010-07-18,pasc,Trifolium repens,1
h1,2010-07-18,telu,Centaurea jacea,0
h1,2010-07-18,telu,Lotus corniculatus,0
h1,2010-07-18,telu,Prunella vulgaris,0
h1,2010-07-18,telu,Trifolium pratense,1
h1,2010-07-18,telu,Trifolium repens,0
h1,2010-07-26,pasc,Lotus corniculatus,7
h1,2010-07-26,pasc,Prunella vulgaris,2
h1,2010-07-26,pasc,Trifolium pratense,5
h1,2010-07-26,telu,Lotus corniculatus,0
h1,2010-07-26,telu,Prunella vulgaris,0
h1,2010-07-26,telu,Trifolium pratense,1
h1,2010-08-23,hort,Gentiana asclepiadea,1
h1,2010-08-23,hort,Lotus corniculatus,0
h1,2010-08-23,hort,Salvia glutinosa,1
h1,2010-08-23,hort,Trifolium pratense,0
h1,2010-08-23,pasc,Gentiana asclepiadea,15
h1,2010-08-23,pasc,Lotus corniculatus,1
h1,2010-08-23,pasc,Salvia glutinosa,1
h1,2010-08-23,pasc,Trifolium pratense,1
h1,2010-08-23,wurf,Gentiana asclepiadea,0
h1,2010-08-23,wurf,Lotus corniculatus,0
h1,2010-08-23,wurf,Salvia glutinosa,2
h1,2010-08-23,wurf,Trifolium pratense,0
h1,2010-09-02,pasc,Centaurea jacea,2
h1,2010-09-02,pasc,Euphrasia rostkoviana,1
h1,2010-09-02,pasc,Gentiana asclepiadea,1
h1,2010-09-02,pasc,Salvia glutinosa,11
h1,2010-09-02,soro,Centaurea jacea,1
h1,2010-09-02,soro,Euphrasia rostkoviana,0
h1,2010-09-02,soro,Gentiana asclepiadea,0
h1,2010-09-02,soro,Salvia glutinosa,0
h1,2010-09-02,wurf,Centaurea jacea,0
h1,2010-09-02,wurf,Euphrasia rostkoviana,0
h1,2010-09-02,wurf,Gentiana asclepiadea,0
h1,2010-09-02,wurf,Salvia glutinosa,3
h1,2011-06-04,pasc,Lotus corniculatus,1
h1,2011-06-04,pasc,Phyteuma orbiculare,0
h1,2011-06-04,pasc,Ranunculus nemorosus,0
h1,2011-06-04,pasc,Trifolium pratense,2
h1,2011-06-04,pasc,Trifolium repens,1
h1,2011-06-04,prat,Lotus corniculatus,0
h1,2011-06-04,prat,Phyteuma orbiculare,1
h1,2011-06-04,prat,Ranunculus nemorosus,0
h1,2011-06-04,prat,Trifolium pratense,0
h1,2011-06-04,prat,Trifolium repens,0
h1,2011-06-04,soro,Lotus corniculatus,0
h1,2011-06-04,soro,Phyteuma orbiculare,4
h1,2011-06-04,soro,Ranunculus nemorosus,0
h1,2011-06-04,soro,Trifolium pratense,0
h1,2011-06-04,soro,Trifolium repens,0
h1,2011-06-04,telu,Lotus corniculatus,0
h1,2011-06-04,telu,Phyteuma orbiculare,0
h1,2011-06-04,telu,Ranunculus nemorosus,1
h1,2011-06-04,telu,Trifolium pratense,0
h1,2011-06-04,telu,Trifolium repens,0
h1,2011-06-09,jone,Chaerophyllum hirsutum,0
h1,2011-06-09,jone,Lotus corniculatus,0
h1,2011-06-09,jone,Phyteuma orbiculare,1
h1,2011-06-09,jone,Plantago lanceolata,0
h1,2011-06-09,jone,Plantago media,0
h1,2011-06-09,jone,Potentilla erecta,0
h1,2011-06-09,jone,Ranunculus nemorosus,0
h1,2011-06-09,jone,Trifolium pratense,0
h1,2011-06-09,pasc,Chaerophyllum hirsutum,0
h1,2011-06-09,pasc,Lotus corniculatus,3
h1,2011-06-09,pasc,Phyteuma orbiculare,0
h1,2011-06-09,pasc,Plantago lanceolata,0
h1,2011-06-09,pasc,Plantago media,0
h1,2011-06-09,pasc,Potentilla erecta,1
h1,2011-06-09,pasc,Ranunculus nemorosus,0
h1,2011-06-09,pasc,Trifolium pratense,6
h1,2011-06-09,prat,Chaerophyllum hirsutum,0
h1,2011-06-09,prat,Lotus corniculatus,0
h1,2011-06-09,prat,Phyteuma orbiculare,2
h1,2011-06-09,prat,Plantago lanceolata,0
h1,2011-06-09,prat,Plantago media,0
h1,2011-06-09,prat,Potentilla erecta,0
h1,2011-06-09,prat,Ranunculus nemorosus,0
h1,2011-06-09,prat,Trifolium pratense,1
h1,2011-06-09,soro,Chaerophyllum hirsutum,0
h1,2011-06-09,soro,Lotus corniculatus,0
h1,2011-06-09,soro,Phyteuma orbiculare,3
h1,2011-06-09,soro,Plantago lanceolata,0
h1,2011-06-09,soro,Plantago media,0
h1,2011-06-09,soro,Potentilla erecta,0
h1,2011-06-09,soro,Ranunculus nemorosus,0
h1,2011-06-09,soro,Trifolium pratense,0
h1,2011-06-09,telu,Chaerophyllum hirsutum,1
h1,2011-06-09,telu,Lotus corniculatus,0
h1,2011-06-09,telu,Phyteuma orbiculare,0
h1,2011-06-09,telu,Plantago lanceolata,9
h1,2011-06-09,telu,Plantago media,4
h1,2011-06-09,telu,Potentilla erecta,0
h1,2011-06-09,telu,Ranunculus nemorosus,2
h1,2011-06-09,telu,Trifolium pratense,0
h1,2011-06-30,pasc,Lotus corniculatus,4
h1,2011-06-30,pasc,Prunella vulgaris,8
h1,2011-06-30,pasc,Trifolium pratense,5
h1,2011-06-30,soro,Lotus corniculatus,1
h1,2011-06-30,soro,Prunella vulgaris,0
h1,2011-06-30,soro,Trifolium pratense,0
h1,2011-06-30,telu,Lotus corniculatus,14
h1,2011-06-30,telu,Prunella vulgaris,0
