BiolFlor-Name;Flower class after MUELLER;
;Flower class after MUELLER
Achillea atrata L.;B`;
Achillea clavennae L.;B`;
Achillea collina Becker ex Rchb.;B`;
Achillea millefolium L.;B`;
Achillea pannonica Scheele;B`;
Achillea pratensis Saukel & R. Länger;B`;
Achillea roseoalba Ehrend.;B`;
Achillea setacea Waldst. & Kit.;B`;
Acinos alpinus (L.) Moench;H;
Aconitum degenii (Arcang.) Mucher;Hh;
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;Hh;
Aconitum napellus L.;Hh;
Aconitum plicatum Köhler ex Rchb.;Hh;
Aconitum tauricum Wulfen;Hh;
Aconitum variegatum L.;Hh;
Adenostyles alliariae (Gouan) A. Kern.;B`F;
Adenostyles glabra (Mill.) DC.;B`F;
Aegopodium podagraria L.;A;
Agrostis alpina Scop.;W;
Agrostis capillaris L.;W;
Agrostis schleicheri Jord. & Verl.;W;
Ajuga reptans L.;Hh;
Alchemilla alpigena Buser;AD;
Alchemilla cleistophylla Rothm. & O. Schwarz;AD;
Alchemilla connivens Buser;AD;
Alchemilla coriacea Buser;AD;
Alchemilla crinita Buser;AD;
Alchemilla cymatophylla Juz.;AD;
Alchemilla decumbens Buser;AD;
Alchemilla effusa Buser;AD;
Alchemilla filicaulis Buser;AD;
Alchemilla fissa Günther & Schummel;AD;
Alchemilla glabra Neygenf.;AD;
Alchemilla glaucescens Wallr.;AD;
Alchemilla glomerulans Buser;AD;
Alchemilla hoppeana (Rchb.) Dalla Torre;AD;
Alchemilla impexa Buser;AD;
Alchemilla lineata Buser;AD;
Alchemilla lunaria S. E. Fröhner;AD;
Alchemilla micans Buser;AD;
Alchemilla monticola Opiz;AD;
Alchemilla obtusa Buser;AD;
Alchemilla pallens Buser;AD;
Alchemilla propinqua H. Lindb. ex Juz.;AD;
Alchemilla reniformis Buser;AD;
Alchemilla rubristipula Buser;AD;
Alchemilla straminea Buser;AD;
Alchemilla strigosula Buser;AD;
Alchemilla subcrenata Buser;AD;
Alchemilla subglobosa C. G. Westerl.;AD;
Alchemilla tenuis Buser;AD;
Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.;AD;
Alchemilla undulata Buser;AD;
Alchemilla versipila Buser;AD;
Alchemilla vulgaris L.;AD;
Alchemilla xanthochlora Rothm.;AD;
Allium carinatum L. s. str.;B;
Allium cirrhosum Vand.;B;
Androsace chamaejasme Wulfen;B;
Anemone narcissiflora L.;Po;
Anemone nemorosa L.;Po;
Antennaria dioica (L.) Gaertn.;B`;
Anthericum ramosum L.;A;
Anthoxanthum alpinum Å. Löve & D. Löve;W;
Anthoxanthum aristatum Boiss.;W;
Anthoxanthum odoratum L. s. str.;W;
Anthriscus nitida (Wahlenb.) Hazsl.;A;
Anthriscus sylvestris (L.) Hoffm.;A;
Anthyllis vulneraria L. s. l.;H;
Aposeris foetida (L.) Less.;B`;
Aquilegia atrata W. D. J. Koch;H;
Arabis alpina L. s. str.;AB;
Arabis bellidifolia Crantz s. l.;AB;
Arabis caerulea All.;AB;
Arabis caucasica Willd.;AB;
Arabis ciliata Clairv.;AB;
Arabis hirsuta (L.) Scop.;AB;
Arabis nemorensis (Wolf ex Hoffm.) W. D. J. Koch;AB;
Arabis sagittata (Bertol.) DC.;AB;
Arctostaphylos alpinus (L.) Spreng.;B;
Arenaria ciliata L. s. l.;AB;
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl;W;
Aster bellidiastrum (L.) Scop.;B`;
Bartsia alpina L.;Hh;
Bellis perennis L.;B`;
Berberis vulgaris L.;ABDe;
Betonica alopecuros L.;H;
Betonica officinalis L.;H;
Biscutella laevigata L.;AB;
Bistorta vivipara (L.) Delarbre;B;
Brachypodium pinnatum (L.) P. Beauv.;W;
Brachypodium rupestre (Host) Roem. & Schult.;W;
Brachypodium sylvaticum (Huds.) P. Beauv.;W;
Briza media L.;W;
Buphthalmum salicifolium L.;B`;
Calamagrostis varia (Schrad.) Host;W;
Calluna vulgaris (L.) Hull;BHb;
Caltha palustris L.;AB;
Campanula alpina Jacq.;Hb;
Campanula cochleariifolia Lam.;Hb;
Campanula glomerata L.;Hb;
Campanula patula L.;Hb;
Campanula scheuchzeri Vill.;Hb;
Campanula trachelium L.;Hb;
Cardamine dentata Schult.;AB;
Cardamine pratensis L. (s. l.);B;
Cardamine udicola Jord.;AB;
Carduus defloratus L.;B`;
Carex alba Scop.;W;
Carex atrata L. s. l.;W;
Carex caryophyllea Latourr.;W;
Carex digitata L.;W;
Carex ericetorum Pollich;W;
Carex ferruginea Scop.;W;
Carex firma (Mygind) Host;W;
Carex flacca Schreb.;W;
Carex nigra (L.) Reichard;W;
Carex ovalis Good.;W;
Carex pallescens L.;W;
Carex panicea L.;W;
Carex parviflora Host;W;
Carex sempervirens Vill.;W;
Carex vaginata Tausch;W;
Carlina acaulis L.;B`;
Carlina biebersteinii Bernh. ex Hornem.;B`;
Carlina vulgaris L. s. str.;B`;
Carum carvi L.;A;
Centaurea jacea L. s. l.;B`;
Centaurea microptilon (Godr.) Gren. & Godr.;B`;
Centaurea scabiosa L. s. l.;B`;
Cephalanthera longifolia (L.) Fritsch;Hb;
Cerastium fontanum Baumg. s. str.;AB;
Cerastium holosteoides Fr.;AB;
Cerastium latifolium L.;AB;
Cerastium lucorum (Schur) Möschl;AB;
Chaerophyllum hirsutum L. s. l.;A;
Chrysosplenium alternifolium L.;A;
Cirsium arvense (L.) Scop.;B`;
Cirsium oleraceum (L.) Scop.;B`;
Cirsium palustre (L.) Scop.;B`;
Cirsium spinosissimum (L.) Scop.;B`;
Cirsium vulgare (Savi) Ten.;B`;
Clinopodium vulgare L.;H;
Coeloglossum viride (L.) Hartm.;B;
Convallaria majalis L.;PoAB;
Crepis alpestris (Jacq.) Tausch;B`;
Crepis aurea (L.) Cass.;B`;
Crepis biennis L.;B`;
Crepis paludosa (L.) Moench;B`;
Crepis terglouensis (Hacq.) Kern.;B`;
Crocus albiflorus Kit.;F;
Crocus vernus (L.) Hill s. str.;F;
Cruciata laevipes Opiz;A;
Cuscuta epithymum (L.) L. s. str.;B;
Cuscuta trifolii Bab. & Gibson;B;
Cynosurus cristatus L.;W;
Dactylis glomerata L. s. str.;W;
Dactylis polygama Horv.;W;
Dactylorhiza cruenta (O. F. Müller) Soó;B;
Dactylorhiza curvifolia (Nyl.) Czerep.;B;
Dactylorhiza fuchsii (Druce) Soó;B;
Dactylorhiza incarnata (L.) Soó;B;
Dactylorhiza lapponica (Hartm.) Soó;B;
Dactylorhiza maculata (L.) Soó s. str.;BHh;
Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.;B;
Dactylorhiza praetermissa (Druce) Soó;B;
Dactylorhiza ruthei (M. Schulze & Ruthe) Soó;B;
Dactylorhiza sphagnicola (Höppner) Soó;B;
Dactylorhiza traunsteineri (Saut.) Soó s. str.;B;
Dactylorhiza x transiens (Druce) Soó (Dactylorhiza fuchsii x D. maculata);B;
Daphne mezereum L.;B;
Daucus carota L.;A;
Dentaria enneaphyllos L.;B;
Deschampsia cespitosa (L.) P. Beauv. s. str.;W;
Deschampsia littoralis (Gaudin) Reuter;W;
Deschampsia wibeliana (Sond.) Parl.;W;
Doronicum grandiflorum Lam.;B`;
Draba aizoides L.;AB;
Dryas octopetala L.;B;
Epilobium alpestre (Jacq.) Krock.;B;
Epilobium alsinifolium Vill.;B;
Epilobium angustifolium L.;B;
Epilobium montanum L.;B;
Epipactis atrorubens (Hoffm. ex Bernh.) Besser;AB;
Erica carnea L.;Ft;
Erigeron annuus (L.) Pers.;B`;
Erigeron uniflorus L.;B`;
Eupatorium cannabinum L.;B`F;
Euphorbia amygdaloides L.;A;
Euphorbia cyparissias L.;A;
Euphrasia frigida Pugsley;BH;
Euphrasia minima Jacq. ex DC.;BH;
Euphrasia officinalis L. s. l.;BH;
Festuca nigrescens Lam.;W;
Festuca pratensis Huds. s. l.;W;
Festuca quadriflora Honck.;W;
Fragaria moschata (Duchesne) Weston;AB;
Fragaria vesca L.;AB;
Fragaria viridis (Duchesne) Weston;AB;
Fragaria x ananassa (Duchesne) Decne. & Naudin;AB;
Galeobdolon argentatum Smejkal;H;
Galeobdolon flavidum (F. Herm.) Holub;H;
Galeobdolon luteum Huds.;H;
Galeobdolon montanum (Pers.) Pers. ex Rchb.;H;
Galeopsis speciosa Mill.;Hh;
Galeopsis tetrahit L.;Hh;
Galium album Mill.;A;
Galium anisophyllon Vill. s. str.;A;
Galium pumilum Murray s. str.;A;
Galium sterneri Ehrend.;A;
Galium suecicum (Sterner) Ehrend.;A;
Galium valdepilosum Heinr. Braun;A;
Gentiana asclepiadea L.;Hh;
Gentiana bavarica L.;Ft;
Gentiana clusii Perrier & Songeon;Hh;
Gentiana cruciata L.;Hh;
Gentiana nivalis L.;Ft;
Gentiana pannonica Scop.;Hh;
Gentiana utriculosa L.;Ft;
Gentiana verna L.;Ft;
Gentianella aspera (Hegetschw.) Dostal ex Skalicky, Chrtek & Gill;HhF;
Gentianella ciliata (L.) Borkh.;Hh;
Geranium purpureum Vill.;B;
Geranium robertianum L. s. str.;B;
Geranium sylvaticum L.;B;
Geum rivale L.;AB;
Geum urbanum L.;AB;
Glechoma hederacea L.;Hh;
Globularia cordifolia L.;F;
Globularia nudicaulis L.;F;
Gymnadenia conopsea (L.) R. Br.;Fn;
Gymnadenia odoratissima (L.) Rich.;F;
Gypsophila repens L.;B;
Hedysarum hedysaroides (L.) Schinz & Thell.;H;
Helianthemum alpestre (Jacq.) DC.;Po;
Helianthemum nummularium (L.) Mill. s. l.;Po;
Helictotrichon pubescens (Huds.) Pilg.;W;
Helleborus niger L.;B;
Hepatica nobilis Schreb.;Po;
Heracleum austriacum L.;A;
Heracleum sphondylium L.;A;
Hieracium adriaticiforme (Zahn) Zahn (piloselloides < peleterianum);B`;
Hieracium anchusoides (Arv.-Touv.) St.-Lag. (zizianum > pilosella);B`;
Hieracium angustifolium Hoppe;B`;
Hieracium apatelium Nägeli & Peter (floribundum - pilosella);B`;
Hieracium aridum Freyn (piloselloides - pilosella);B`;
Hieracium arnoserioides Nägeli & Peter (piloselloides - macranthum);B`;
Hieracium arvicola Nägeli & Peter (piloselloides - caespitosum);B`;
Hieracium aurantiacum L.;B`;
Hieracium auriculoides Lang (bauhini - echioides);B`;
Hieracium basifurcum Peter (sphaerocephalum - pilosella);B`;
Hieracium bauhini Schult.;B`;
Hieracium bifidum Kit.;B`;
Hieracium bifurcum M. Bieb. (echioides <= pilosella);B`;
Hieracium brachiatum Bertol. ex DC. (piloselloides < pilosella);B`;
Hieracium brachycomum Nägeli & Peter (sphaerocephalum - lactucella);B`;
Hieracium caespitosum Dumort.;B`;
Hieracium calodon Tausch ex Peter (echioides - piloselloides);B`;
Hieracium chaetocephalum H. Hofmann (caespitosum - peleterianum);B`;
Hieracium chlorops (Nägeli & Peter) Zahn (prussicum - lactucella);B`;
Hieracium cinereiforme Meissner & Zahn (fallax <= pilosella);B`;
Hieracium cochleatum (Nägeli & Peter) Zahn (caespitosum < lactucella);B`;
Hieracium cymosum L.;B`;
Hieracium densiflorum Tausch (bauhini - cymosum);B`;
Hieracium dubium L. (cymosum - floribundum);B`;
Hieracium echioides Lumn.;B`;
Hieracium euchaetium Nägeli & Peter (bauhini - echioides - pilosella);B`;
Hieracium fallaciforme Litv. & Zahn (fallax > pilosella);B`;
Hieracium fallacinum F. W. Schultz (densiflorum >= pilosella);B`;
Hieracium fallax Willd. (echioides - cymosum);B`;
Hieracium flagellare Willd. (caespitosum - pilosella);B`;
Hieracium floribundum Wimm. & Grab. (caespitosum > lactucella);B`;
Hieracium fuscum Vill. (aurantiacum > lactucella);B`;
