BiolFlor-Name;Pollen vector;;;;
;Pollen vector;Abundance;Reference;Systematic reference
Achillea atrata L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Achillea clavennae L.;insects;the rule;Anmerkung 2002: pers. obs.;species;
Achillea collina Becker ex Rchb.;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Achillea millefolium L.;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Achillea pannonica Scheele;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Achillea pratensis Saukel & R. Länger;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Achillea roseoalba Ehrend.;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Achillea setacea Waldst. & Kit.;insects;always;Warwick, S.I., Black, L. 1982: The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62:163-182;species;
Acinos alpinus (L.) Moench;selfing;often;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;often;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Aconitum degenii (Arcang.) Mucher;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;selfing;often;Bosch, M., Simon, J., Molero, J., Blanche, C. 2001: Breeding systems in tribe Delphinieae (Ranunculaceae) in the western Mediterranean area. Flora 196:101-113;species;
