"Stationsname"	"date"	"elevation"	"Messortname"	"Lat"	"Lon"	"year"	"T_meanday"	"stdDate"	"Daynumber"
"Blaueishuette"	"01.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	NA	01.01.10	14610
"Blaueishuette"	"02.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-10.97	02.01.10	14611
"Blaueishuette"	"03.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-11.09	03.01.10	14612
"Blaueishuette"	"04.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-7	04.01.10	14613
"Blaueishuette"	"05.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0	05.01.10	14614
"Blaueishuette"	"06.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.3	06.01.10	14615
"Blaueishuette"	"07.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-8.3	07.01.10	14616
"Blaueishuette"	"08.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-6.17	08.01.10	14617
"Blaueishuette"	"09.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-9.6	09.01.10	14618
"Blaueishuette"	"10.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-10.14	10.01.10	14619
"Blaueishuette"	"11.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-9.98	11.01.10	14620
"Blaueishuette"	"12.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-8.79	12.01.10	14621
"Blaueishuette"	"13.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.4	13.01.10	14622
"Blaueishuette"	"14.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.22	14.01.10	14623
"Blaueishuette"	"15.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-2.94	15.01.10	14624
"Blaueishuette"	"16.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-2.9	16.01.10	14625
"Blaueishuette"	"17.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	NA	17.01.10	14626
"Blaueishuette"	"18.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-5.59	18.01.10	14627
"Blaueishuette"	"19.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-4.53	19.01.10	14628
"Blaueishuette"	"20.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-6.73	20.01.10	14629
"Blaueishuette"	"21.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-5.48	21.01.10	14630
"Blaueishuette"	"22.01.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-7.19	22.01.10	14631
