abbreviation;name_latin;name_english;name_german;taxa;lifestyle
alpi;B. mendax, B. pyrenaeus, B. sicheli;;alpine Rotarschhummel - Königinnen;bumblebee;social
barb;Bombus barbutellus;Barbut's Cuckoo-bee;Bärtige Kuckuckshummel;bumblebee;solitary
bohe;Bombus bohemicus;Gypsy’s Cuckoo Bumblebee;Angebundene Kuckuckhummel;bumblebee;solitary
camp;Bombus campestris;;Feld-Kuckuckshummel;bumblebee;solitary
flav;Bombus flavidus;;Gelbe Alpenkuckuckshummel;bumblebee;solitary
gers;Bombus gerstaeckeri;;Eisenhuthummel;bumblebee;social
hort;Bombus hortorum;Garden Bumblebee;Gartenhummel;bumblebee;social
humi;Bombus humilis;Brown-banded Carder Bee;Veränderliche Hummel;bumblebee;social
hypn;Bombus hypnorum;Tree Bumblebee;Baumhummel;bumblebee;social
jone;Bombus jonellus;Heath Humble-Bee;Heidehummel;bumblebee;social
lapi;Bombus lapidarius;Red-tailed Bumblebee;Steinhummel;bumblebee;social
mend;Bombus mendax;;Trughummel;bumblebee;social
mont;Bombus monticola;Mountain Bumblebee;Berglandhummel;bumblebee;social
muci;Bombus mucidus;;Grauweiße Hummel;bumblebee;social
pasc;Bombus pascuorum;Common Carder Bee;Ackerhummel;bumblebee;social
prat;Bombus pratorum;Early-nesting Bumblebee;Wiesenhummel;bumblebee;social
psyt;B. barbutellus, B. bohemicus, B. sylvestris;;weißarschig Kuckuckshummel -  Königinnen;bumblebee;solitary
pyre;Bombus pyrenaeus;;Pyrenäenhummel;bumblebee;social
quad;Bombus quadricolor;;Vierfarbige Kuckuckshummel;bumblebee;solitary
soro;Bombus soroeensis;Broken-belted Bumblebee;Distelhummel;bumblebee;social
sylv;Bombus sylvestris;Forest Cuckoo Bumblebee;Wald-Kuckuckshummel;bumblebee;solitary
telu;Bombus terrestris/lucorum;Buff-/White tailed Bumblebee;Dunkle/Helle Erdhummel;bumblebee;social
wurf;Bombus wurflenii;;Bergwaldhummel;bumblebee;social
terr;Bombus terrestris;Buff-tailed Bumblebee;Dunkle Erdhummel;bumblebee;social
luco;Bombus lucorum;White-tailed Bumblebee;Helle Erdhummel;bumblebee;social
cryp;Bombus cryptarum;;Kryptarum-Erdhummel;bumblebee;social
Ach.atr;Achillea atrata;NA ;NA ;plant;NA
Ach.cla;Achillea clavennae;NA ;NA ;plant;NA
Aci.alp;Acinos alpinus;NA ;NA ;plant;NA
Aco.nap;Aconitum napellus agg.;NA ;NA ;plant;NA
Aco.vul;Aconitum vulparia agg.;NA ;NA ;plant;NA
Ade.all;Adenostyles alliariae;NA ;NA ;plant;NA
Aju.rep;Ajuga reptans ;NA ;NA ;plant;NA
Alc.vul;Alchemilla vulgaris agg.;NA ;NA ;plant;NA
