year;date;dayofyear;weather;temperature;site_name;site_elevation;site_eleclass;trapping_locality ;stage_site;stage_overall;stage_mean_doy;stage_interval;trapping_interval;trapping_time;bumb_species;caste;activity;forage_plant;pollen;pollen_colour;sample_number;size;mark;mark_number;mark_colour;observer
2011;24.05.2011;144;sonnig!;18;wma4;1773;4;inside;1;1;145;9:10-10:00;9:05-10:00;09:55;soro;queen;for;Vac.myr;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig!;18;wma4;1773;4;inside;1;1;145;9:10-10:00;9:05-10:00;10:00;mont;queen;for;Sol.alp;nopollen;0;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig;16;wma5;2032;5;inside;1;1;145;10:35-11:25;10:35-11:30;10:40;alpi;worker;for;Sol.alp;nopollen;0;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig;17;wmb5;1813;5;inside;1;1;145;11:40-12:30;11:40-12:35;12:15;soro;queen;fly;0;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig;20;wmb4;1655;4;inside;1;1;145;13:10-14:00;13:05-14:00;13:10;telu;worker;for;Tro.eur;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig;20;wmb4;1655;4;inside;1;1;145;13:10-14:00;13:05-14:00;13:50;soro;queen;fly;0;nopollen;0;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig;20;wmb4;1655;4;inside;1;1;145;13:10-14:00;13:05-14:00;14:00;muci;queen;for;Lot.cor;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;22;wma3;1423;3;inside;1;1;145;14:45-15:35;14:45-15:40;15:05;telu;worker;for;Tro.eur;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;22;wma3;1423;3;inside;1;1;145;14:45-15:35;14:45-15:40;15:05;pasc;worker;for;Aju.rep;nopollen;0;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;22;wma3;1423;3;inside;1;1;145;14:45-15:35;14:45-15:40;15:20;telu;worker;for;Tro.eur;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;21;wma2;1245;2;inside;1;1;145;16:10-17:00;16:10-17:05;16:10;prat;worker;for;Lot.cor;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;21;wma2;1245;2;inside;1;1;145;16:10-17:00;16:10-17:05;16:15;pasc;worker;for;Aci.alp;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;21;wma2;1245;2;inside;1;1;145;16:10-17:00;16:10-17:05;16:40;pasc;worker;for;Aju.rep;pollen;gelb;0;0;nom;0;0;K
2011;24.05.2011;144;sonnig-schattig;21;wma2;1245;2;inside;1;1;145;16:10-17:00;16:10-17:05;16:50;soro;worker;fly;0;pollen;gelb;0;0;nom;0;0;K
2011;25.05.2011;145;sonnig-schattig;13;h7;1984;5;0;1;1;145;10:45-11:35;10:45-11:40;0;0;0;0;0;0;0;0;0;0;0;0;K
2011;25.05.2011;145;sonnig;15;h6;1808;5;inside;1;1;145;12:05-12:55;12:05-13:00;12:25;jone;worker;for;Sol.alp;pollen;gelb;0;0;nom;0;0;K
2011;25.05.2011;145;sonnig;18;h5;1579;4;outside;1;1;145;13:25-14:15;13:25-14:20;13:25;pasc;worker;for;Lam.gal;pollen;braun-gelb;0;0;nom;0;0;K
