year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2011;1;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;2;3.1;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;3;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;4;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;6;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;7;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;8;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;9;3.2;1;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;10;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;11;3.4;1;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;12;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;13;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;14;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;15;3.7;0;4;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;16;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;17;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;18;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;Belegexemplar - > unendlich viel Nosema in Darm und Fettkšrper;BF
2011;19;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;20;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;21;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;22;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;23;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;24;3.6;0;0;0;4;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;25;3.6;0;4;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;26;4.1;0;0;1;1;0;NA;NA;NA;0;0;0;0;0;0;0;yes;normal;;NA
2011;27;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;28;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;29;3.1;0;0;0;2;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;30;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;31;3.9;0;1;0;3;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;32;4.1;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;33;3.3;0;0;0;0;0;NA;NA;NA;18;0;0;0;0;0;0;0;normal;;NA
2011;34;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;35;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;36;2.7;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;37;3.5;1;0;0;3;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;38;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;39;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;40;3.1;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;S
2011;41;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;42;3.7;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;43;3.4;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
