site,date,bb.sp,bb.abund,elev.class,management,elev.mean,transect,lat,lon,elev.class2,year,yday,bb.annual.abund,abund.class,bb.sp.ord,clade,subgenus,bb.sp.lat,pbl.w,pbl.w.class,pbl.w.class2,pbl.w.ref,Notes,pbl.w.durieaux,notes_durieaux
h1,2010-05-12,gers,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,21,minor,gers,LF,Megabombus,Bombus gerstaeckeri,16.8,5,long,Obeso.1992,NA,16.8,"Missing in Durieaux, added from Obeso."
h1,2010-05-12,hort,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,129,common,hort,LF,Megabombus,Bombus hortorum,12.7,5,long,Arbetman.2017,NA,12.18,NA
h1,2010-05-12,humi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,0,minor,humi,LF,Thoracobombus,Bombus humilis,7.9,2,med,Arbetman.2017,NA,9.1,NA
h1,2010-05-12,hypn,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,12,high elev.,hypn,SF,Pyrobombus,Bombus hypnorum,8.9,4,med,Arbetman.2017,NA,7.7,NA
h1,2010-05-12,jone,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,11,common,jone,SF,Pyrobombus,Bombus jonellus,6,1,short,Arbetman.2017,NA,6,"Missing in Durieaux, added from Arbetman."
h1,2010-05-12,lapi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,1,high elev.,lapi,SF,Melanobombus,Bombus lapidarius,7,1,short,Arbetman.2017,NA,7.7,NA
h1,2010-05-12,mend,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,14,high elev.,mend,M,Mendacibombus,Bombus mendax,10.3,5,long,Durieux.2000,NA,10.26,NA
h1,2010-05-12,mont,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,11,high elev.,mont,SF,Pyrobombus,Bombus monticola,7.5,2,med,Arbetman.2017,NA,7.5,NA
h1,2010-05-12,muci,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,32,minor,muci,LF,Thoracobombus,Bombus mucidus,8,2,med,Arbetman.2017,NA,7.7,NA
h1,2010-05-12,pasc,6,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,817,dominant,pasc,LF,Thoracobombus,Bombus pascuorum,8.4,3,med,Arbetman.2017,NA,9.15,NA
h1,2010-05-12,prat,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,496,dominant,prat,SF,Pyrobombus,Bombus pratorum,7.3,2,short,Arbetman.2017,NA,8,NA
h1,2010-05-12,psit,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,71,common,psit,LF,Psithyrus,Psithyrus,6.6,1,short,Arbetman.2017,"Tongue lengths are given only for B. silvestris and B. quadricolor, both 6.6 mm.",6.6,"Missing in Durieaux, added from Arbetman."
h1,2010-05-12,pyre,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,32,high elev.,pyre,SF,Pyrobombus,Bombus pyrenaeus,6.1,1,short,Arbetman.2017,NA,7.8,NA
h1,2010-05-12,soro,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,278,dominant,soro,K,Kallobombus,Bombus soroeensis,6.2,1,short,Arbetman.2017,NA,8,NA
h1,2010-05-12,telu,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,387,dominant,telu,SF,Bombus,Bombus telu,6.9,1,short,Arbetman.2017,"B. terrestris = 7.6, B. lucorum = 6.1, B. cryptarum not given, but observed only once.",8.2,"terr = 8.9, luc = 7.5"
h1,2010-05-12,wurf,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,132,367,dominant,wurf,SF,Alpigenobombus,Bombus wurflenii,7.5,2,med,Arbetman.2017,NA,9,NA
h1,2010-05-23,gers,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,21,minor,gers,LF,Megabombus,Bombus gerstaeckeri,16.8,5,long,Obeso.1992,NA,16.8,"Missing in Durieaux, added from Obeso."
h1,2010-05-23,hort,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,129,common,hort,LF,Megabombus,Bombus hortorum,12.7,5,long,Arbetman.2017,NA,12.18,NA
h1,2010-05-23,humi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,0,minor,humi,LF,Thoracobombus,Bombus humilis,7.9,2,med,Arbetman.2017,NA,9.1,NA
h1,2010-05-23,hypn,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,12,high elev.,hypn,SF,Pyrobombus,Bombus hypnorum,8.9,4,med,Arbetman.2017,NA,7.7,NA
h1,2010-05-23,jone,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,11,common,jone,SF,Pyrobombus,Bombus jonellus,6,1,short,Arbetman.2017,NA,6,"Missing in Durieaux, added from Arbetman."
h1,2010-05-23,lapi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,1,high elev.,lapi,SF,Melanobombus,Bombus lapidarius,7,1,short,Arbetman.2017,NA,7.7,NA
h1,2010-05-23,mend,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,14,high elev.,mend,M,Mendacibombus,Bombus mendax,10.3,5,long,Durieux.2000,NA,10.26,NA
h1,2010-05-23,mont,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,11,high elev.,mont,SF,Pyrobombus,Bombus monticola,7.5,2,med,Arbetman.2017,NA,7.5,NA
h1,2010-05-23,muci,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,32,minor,muci,LF,Thoracobombus,Bombus mucidus,8,2,med,Arbetman.2017,NA,7.7,NA
h1,2010-05-23,pasc,3,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,817,dominant,pasc,LF,Thoracobombus,Bombus pascuorum,8.4,3,med,Arbetman.2017,NA,9.15,NA
h1,2010-05-23,prat,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,496,dominant,prat,SF,Pyrobombus,Bombus pratorum,7.3,2,short,Arbetman.2017,NA,8,NA
h1,2010-05-23,psit,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,71,common,psit,LF,Psithyrus,Psithyrus,6.6,1,short,Arbetman.2017,"Tongue lengths are given only for B. silvestris and B. quadricolor, both 6.6 mm.",6.6,"Missing in Durieaux, added from Arbetman."
h1,2010-05-23,pyre,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,32,high elev.,pyre,SF,Pyrobombus,Bombus pyrenaeus,6.1,1,short,Arbetman.2017,NA,7.8,NA
h1,2010-05-23,soro,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,278,dominant,soro,K,Kallobombus,Bombus soroeensis,6.2,1,short,Arbetman.2017,NA,8,NA
h1,2010-05-23,telu,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,387,dominant,telu,SF,Bombus,Bombus telu,6.9,1,short,Arbetman.2017,"B. terrestris = 7.6, B. lucorum = 6.1, B. cryptarum not given, but observed only once.",8.2,"terr = 8.9, luc = 7.5"
h1,2010-05-23,wurf,1,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,143,367,dominant,wurf,SF,Alpigenobombus,Bombus wurflenii,7.5,2,med,Arbetman.2017,NA,9,NA
h1,2010-06-18,gers,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,21,minor,gers,LF,Megabombus,Bombus gerstaeckeri,16.8,5,long,Obeso.1992,NA,16.8,"Missing in Durieaux, added from Obeso."
h1,2010-06-18,hort,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,129,common,hort,LF,Megabombus,Bombus hortorum,12.7,5,long,Arbetman.2017,NA,12.18,NA
h1,2010-06-18,humi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,0,minor,humi,LF,Thoracobombus,Bombus humilis,7.9,2,med,Arbetman.2017,NA,9.1,NA
h1,2010-06-18,hypn,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,12,high elev.,hypn,SF,Pyrobombus,Bombus hypnorum,8.9,4,med,Arbetman.2017,NA,7.7,NA
h1,2010-06-18,jone,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,11,common,jone,SF,Pyrobombus,Bombus jonellus,6,1,short,Arbetman.2017,NA,6,"Missing in Durieaux, added from Arbetman."
h1,2010-06-18,lapi,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,1,high elev.,lapi,SF,Melanobombus,Bombus lapidarius,7,1,short,Arbetman.2017,NA,7.7,NA
h1,2010-06-18,mend,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,14,high elev.,mend,M,Mendacibombus,Bombus mendax,10.3,5,long,Durieux.2000,NA,10.26,NA
h1,2010-06-18,mont,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,11,high elev.,mont,SF,Pyrobombus,Bombus monticola,7.5,2,med,Arbetman.2017,NA,7.5,NA
h1,2010-06-18,muci,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,32,minor,muci,LF,Thoracobombus,Bombus mucidus,8,2,med,Arbetman.2017,NA,7.7,NA
h1,2010-06-18,pasc,5,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,817,dominant,pasc,LF,Thoracobombus,Bombus pascuorum,8.4,3,med,Arbetman.2017,NA,9.15,NA
h1,2010-06-18,prat,1,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,496,dominant,prat,SF,Pyrobombus,Bombus pratorum,7.3,2,short,Arbetman.2017,NA,8,NA
h1,2010-06-18,psit,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,71,common,psit,LF,Psithyrus,Psithyrus,6.6,1,short,Arbetman.2017,"Tongue lengths are given only for B. silvestris and B. quadricolor, both 6.6 mm.",6.6,"Missing in Durieaux, added from Arbetman."
h1,2010-06-18,pyre,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,32,high elev.,pyre,SF,Pyrobombus,Bombus pyrenaeus,6.1,1,short,Arbetman.2017,NA,7.8,NA
h1,2010-06-18,soro,1,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,278,dominant,soro,K,Kallobombus,Bombus soroeensis,6.2,1,short,Arbetman.2017,NA,8,NA
h1,2010-06-18,telu,0,mitte,grasing,817,Hintersee,47.590633,12.836133,low,2010,169,387,dominant,telu,SF,Bombus,Bombus telu,6.9,1,short,Arbetman.2017,"B. terrestris = 7.6, B. lucorum = 6.1, B. cryptarum not given, but observed only once.",8.2,"terr = 8.9, luc = 7.5"
