site,date,yday,elev.mean,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
ho3,2012-09-04,248,1333,gers_hort,gers,hort,2,1,0.33333333333333337,long:long,0.6931471805599453,0
ho3,2012-09-04,248,1333,gers_pasc,gers,pasc,2,4,0.33333333333333337,med:long,0.6931471805599453,1.3862943611198906
ho3,2012-09-04,248,1333,gers_prat,gers,prat,2,1,0,short:long,0.6931471805599453,0
ho3,2012-09-04,248,1333,gers_wurf,gers,wurf,2,3,0.7142857142857142,med:long,0.6931471805599453,1.0986122886681098
ho3,2012-09-04,248,1333,hort_pasc,hort,pasc,1,4,0.33333333333333337,med:long,0,1.3862943611198906
ho3,2012-09-04,248,1333,hort_prat,hort,prat,1,1,0,short:long,0,0
ho3,2012-09-04,248,1333,hort_wurf,hort,wurf,1,3,0.19999999999999996,med:long,0,1.0986122886681098
ho3,2012-09-04,248,1333,pasc_prat,pasc,prat,4,1,0.1428571428571429,short:med,1.3862943611198906,0
ho3,2012-09-04,248,1333,pasc_wurf,pasc,wurf,4,3,0.19999999999999996,med:med,1.3862943611198906,1.0986122886681098
ho3,2012-09-04,248,1333,prat_wurf,prat,wurf,1,3,0,short:med,0,1.0986122886681098
wmb4,2012-08-29,242,1655,gers_pasc,gers,pasc,1,2,0,med:long,0,0.6931471805599453
wmb4,2012-08-29,242,1655,gers_prat,gers,prat,1,1,0,short:long,0,0
wmb4,2012-08-29,242,1655,gers_pyre,gers,pyre,1,1,0,short:long,0,0
wmb4,2012-08-29,242,1655,gers_soro,gers,soro,1,1,0,short:long,0,0
wmb4,2012-08-29,242,1655,pasc_prat,pasc,prat,2,1,0.33333333333333337,short:med,0.6931471805599453,0
wmb4,2012-08-29,242,1655,pasc_pyre,pasc,pyre,2,1,0,short:med,0.6931471805599453,0
wmb4,2012-08-29,242,1655,pasc_soro,pasc,soro,2,1,0.33333333333333337,short:med,0.6931471805599453,0
wmb4,2012-08-29,242,1655,prat_pyre,prat,pyre,1,1,0,short:short,0,0
wmb4,2012-08-29,242,1655,prat_soro,prat,soro,1,1,0,short:short,0,0
wmb4,2012-08-29,242,1655,pyre_soro,pyre,soro,1,1,0,short:short,0,0
wmb4,2012-09-07,251,1655,gers_pasc,gers,pasc,1,5,0,med:long,0,1.6094379124341003
wmb4,2012-09-07,251,1655,gers_prat,gers,prat,1,2,0,short:long,0,0.6931471805599453
wmb4,2012-09-07,251,1655,gers_pyre,gers,pyre,1,1,0,short:long,0,0
wmb4,2012-09-07,251,1655,gers_soro,gers,soro,1,3,0,short:long,0,1.0986122886681098
wmb4,2012-09-07,251,1655,gers_wurf,gers,wurf,1,2,0,med:long,0,0.6931471805599453
wmb4,2012-09-07,251,1655,pasc_prat,pasc,prat,5,2,0.2500000000000001,short:med,1.6094379124341003,0.6931471805599453
wmb4,2012-09-07,251,1655,pasc_pyre,pasc,pyre,5,1,0,short:med,1.6094379124341003,0
wmb4,2012-09-07,251,1655,pasc_soro,pasc,soro,5,3,0.11111111111111105,short:med,1.6094379124341003,1.0986122886681098
wmb4,2012-09-07,251,1655,pasc_wurf,pasc,wurf,5,2,0.2499999999999999,med:med,1.6094379124341003,0.6931471805599453
wmb4,2012-09-07,251,1655,prat_pyre,prat,pyre,2,1,0.33333333333333337,short:short,0.6931471805599453,0
wmb4,2012-09-07,251,1655,prat_soro,prat,soro,2,3,0.19999999999999996,short:short,0.6931471805599453,1.0986122886681098
wmb4,2012-09-07,251,1655,prat_wurf,prat,wurf,2,2,0.33333333333333337,short:med,0.6931471805599453,0.6931471805599453
wmb4,2012-09-07,251,1655,pyre_soro,pyre,soro,1,3,0.19999999999999996,short:short,0,1.0986122886681098
wmb4,2012-09-07,251,1655,pyre_wurf,pyre,wurf,1,2,0,short:med,0,0.6931471805599453
wmb4,2012-09-07,251,1655,soro_wurf,soro,wurf,3,2,0,short:med,1.0986122886681098,0.6931471805599453
wmb5,2012-09-07,251,1813,gers_mont,gers,mont,2,1,0,med:long,0.6931471805599453,0
wmb5,2012-09-07,251,1813,gers_pasc,gers,pasc,2,8,0,med:long,0.6931471805599453,2.0794415416798357
wmb5,2012-09-07,251,1813,gers_pyre,gers,pyre,2,3,0,short:long,0.6931471805599453,1.0986122886681098
wmb5,2012-09-07,251,1813,gers_soro,gers,soro,2,4,0,short:long,0.6931471805599453,1.3862943611198906
wmb5,2012-09-07,251,1813,gers_wurf,gers,wurf,2,6,0,med:long,0.6931471805599453,1.791759469228055
wmb5,2012-09-07,251,1813,mont_pasc,mont,pasc,1,8,0,med:med,0,2.0794415416798357
wmb5,2012-09-07,251,1813,mont_pyre,mont,pyre,1,3,0,short:med,0,1.0986122886681098
wmb5,2012-09-07,251,1813,mont_soro,mont,soro,1,4,0,short:med,0,1.3862943611198906
wmb5,2012-09-07,251,1813,mont_wurf,mont,wurf,1,6,0,med:med,0,1.791759469228055
wmb5,2012-09-07,251,1813,pasc_pyre,pasc,pyre,8,3,0.06666666666666665,short:med,2.0794415416798357,1.0986122886681098
wmb5,2012-09-07,251,1813,pasc_soro,pasc,soro,8,4,0.23076923076923073,short:med,2.0794415416798357,1.3862943611198906
wmb5,2012-09-07,251,1813,pasc_wurf,pasc,wurf,8,6,0.7777777777777778,med:med,2.0794415416798357,1.791759469228055
wmb5,2012-09-07,251,1813,pyre_soro,pyre,soro,3,4,0.19999999999999996,short:short,1.0986122886681098,1.3862943611198906
wmb5,2012-09-07,251,1813,pyre_wurf,pyre,wurf,3,6,0.09090909090909094,short:med,1.0986122886681098,1.791759469228055
wmb5,2012-09-07,251,1813,soro_wurf,soro,wurf,4,6,0.26315789473684215,short:med,1.3862943611198906,1.791759469228055
ho3,2010-08-21,233,1333,gers_hort,gers,hort,3,2,0,long:long,1.0986122886681098,0.6931471805599453
ho3,2010-08-21,233,1333,gers_muci,gers,muci,3,1,0,med:long,1.0986122886681098,0
ho3,2010-08-21,233,1333,gers_pasc,gers,pasc,3,4,0.14285714285714268,med:long,1.0986122886681098,1.3862943611198906
ho3,2010-08-21,233,1333,gers_prat,gers,prat,3,4,0,short:long,1.0986122886681098,1.3862943611198906
ho3,2010-08-21,233,1333,gers_telu,gers,telu,3,1,0,short:long,1.0986122886681098,0
ho3,2010-08-21,233,1333,hort_muci,hort,muci,2,1,0,med:long,0.6931471805599453,0
ho3,2010-08-21,233,1333,hort_pasc,hort,pasc,2,4,0,med:long,0.6931471805599453,1.3862943611198906
ho3,2010-08-21,233,1333,hort_prat,hort,prat,2,4,0.1428571428571429,short:long,0.6931471805599453,1.3862943611198906
ho3,2010-08-21,233,1333,hort_telu,hort,telu,2,1,0,short:long,0.6931471805599453,0
ho3,2010-08-21,233,1333,muci_pasc,muci,pasc,1,4,0.33333333333333337,med:med,0,1.3862943611198906
ho3,2010-08-21,233,1333,muci_prat,muci,prat,1,4,0.33333333333333337,short:med,0,1.3862943611198906
ho3,2010-08-21,233,1333,muci_telu,muci,telu,1,1,1,short:med,0,0
ho3,2010-08-21,233,1333,pasc_prat,pasc,prat,4,4,0.33333333333333337,short:med,1.3862943611198906,1.3862943611198906
ho3,2010-08-21,233,1333,pasc_telu,pasc,telu,4,1,0.33333333333333337,short:med,1.3862943611198906,0
ho3,2010-08-21,233,1333,prat_telu,prat,telu,4,1,0.33333333333333337,short:short,1.3862943611198906,0
ho3,2012-07-25,207,1333,gers_hort,gers,hort,1,1,0,long:long,0,0
ho3,2012-07-25,207,1333,gers_pasc,gers,pasc,1,1,0,med:long,0,0
ho3,2012-07-25,207,1333,gers_prat,gers,prat,1,7,0,short:long,0,1.9459101490553132
ho3,2012-07-25,207,1333,gers_soro,gers,soro,1,2,0,short:long,0,0.6931471805599453
ho3,2012-07-25,207,1333,gers_telu,gers,telu,1,8,0,short:long,0,2.0794415416798357
ho3,2012-07-25,207,1333,gers_wurf,gers,wurf,1,3,0,med:long,0,1.0986122886681098
ho3,2012-07-25,207,1333,hort_pasc,hort,pasc,1,1,0,med:long,0,0
ho3,2012-07-25,207,1333,hort_prat,hort,prat,1,7,0.07692307692307687,short:long,0,1.9459101490553132
