site,elev,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
ho3,133.3,gers_hort,gers,hort,7,24,0.16972146052821468,long:long,1.9459101490553132,3.1780538303479458
ho3,133.3,gers_hypn,gers,hypn,7,2,0,med:long,1.9459101490553132,0.6931471805599453
ho3,133.3,gers_jone,gers,jone,7,10,0,short:long,1.9459101490553132,2.302585092994046
ho3,133.3,gers_mont,gers,mont,7,9,0,med:long,1.9459101490553132,2.1972245773362196
ho3,133.3,gers_muci,gers,muci,7,7,0,med:long,1.9459101490553132,1.9459101490553132
ho3,133.3,gers_pasc,gers,pasc,7,85,0.0713391239475647,med:long,1.9459101490553132,4.442651256490317
ho3,133.3,gers_prat,gers,prat,7,147,0.01992409867172673,short:long,1.9459101490553132,4.990432586778736
ho3,133.3,gers_psit,gers,psit,7,8,0,short:long,1.9459101490553132,2.0794415416798357
ho3,133.3,gers_pyre,gers,pyre,7,1,0,short:long,1.9459101490553132,0
ho3,133.3,gers_soro,gers,soro,7,43,0,short:long,1.9459101490553132,3.7612001156935624
ho3,133.3,gers_telu,gers,telu,7,112,0.007157235517781246,short:long,1.9459101490553132,4.718498871295094
ho3,133.3,gers_wurf,gers,wurf,7,34,0.13074528474638347,med:long,1.9459101490553132,3.5263605246161616
ho3,133.3,hort_hypn,hort,hypn,24,2,0.3444976076555024,med:long,3.1780538303479458,0.6931471805599453
ho3,133.3,hort_jone,hort,jone,24,10,0.47397204780230906,short:long,3.1780538303479458,2.302585092994046
ho3,133.3,hort_mont,hort,mont,24,9,0.06798866855524077,med:long,3.1780538303479458,2.1972245773362196
ho3,133.3,hort_muci,hort,muci,24,7,0.3394429210564295,med:long,3.1780538303479458,1.9459101490553132
ho3,133.3,hort_pasc,hort,pasc,24,85,0.6630323228257378,med:long,3.1780538303479458,4.442651256490317
ho3,133.3,hort_prat,hort,prat,24,147,0.7602464108116133,short:long,3.1780538303479458,4.990432586778736
ho3,133.3,hort_psit,hort,psit,24,8,0.2849999999999999,short:long,3.1780538303479458,2.0794415416798357
ho3,133.3,hort_pyre,hort,pyre,24,1,0,short:long,3.1780538303479458,0
ho3,133.3,hort_soro,hort,soro,24,43,0.4728045006813919,short:long,3.1780538303479458,3.7612001156935624
ho3,133.3,hort_telu,hort,telu,24,112,0.5216430281819857,short:long,3.1780538303479458,4.718498871295094
ho3,133.3,hort_wurf,hort,wurf,24,34,0.33659613369305896,med:long,3.1780538303479458,3.5263605246161616
ho3,133.3,hypn_jone,hypn,jone,2,10,0,short:med,0.6931471805599453,2.302585092994046
ho3,133.3,hypn_mont,hypn,mont,2,9,0,med:med,0.6931471805599453,2.1972245773362196
ho3,133.3,hypn_muci,hypn,muci,2,7,0.18666666666666665,med:med,0.6931471805599453,1.9459101490553132
ho3,133.3,hypn_pasc,hypn,pasc,2,85,0.3036033196764367,med:med,0.6931471805599453,4.442651256490317
ho3,133.3,hypn_prat,hypn,prat,2,147,0.31073247285654815,short:med,0.6931471805599453,4.990432586778736
ho3,133.3,hypn_psit,hypn,psit,2,8,0,short:med,0.6931471805599453,2.0794415416798357
ho3,133.3,hypn_pyre,hypn,pyre,2,1,0,short:med,0.6931471805599453,0
ho3,133.3,hypn_soro,hypn,soro,2,43,0.06136282554405992,short:med,0.6931471805599453,3.7612001156935624
ho3,133.3,hypn_telu,hypn,telu,2,112,0.7632508833922262,short:med,0.6931471805599453,4.718498871295094
ho3,133.3,hypn_wurf,hypn,wurf,2,34,0.14468085106382977,med:med,0.6931471805599453,3.5263605246161616
ho3,133.3,jone_mont,jone,mont,10,9,0.41095890410958913,short:med,2.302585092994046,2.1972245773362196
ho3,133.3,jone_muci,jone,muci,10,7,0.23635340461451881,short:med,2.302585092994046,1.9459101490553132
ho3,133.3,jone_pasc,jone,pasc,10,85,0.25097863773627127,short:med,2.302585092994046,4.442651256490317
ho3,133.3,jone_prat,jone,prat,10,147,0.7176984825532273,short:short,2.302585092994046,4.990432586778736
ho3,133.3,jone_psit,jone,psit,10,8,0.7267833109017497,short:short,2.302585092994046,2.0794415416798357
ho3,133.3,jone_pyre,jone,pyre,10,1,0,short:short,2.302585092994046,0
ho3,133.3,jone_soro,jone,soro,10,43,0.8551154767464634,short:short,2.302585092994046,3.7612001156935624
ho3,133.3,jone_telu,jone,telu,10,112,0.0354173840326627,short:short,2.302585092994046,4.718498871295094
