site,sp.pair,bb.sp1,bb.sp2,subgenus1,subgenus2,tongue1,tongue2,elev.mean,tongue.diff,tongue.pair,subgenus.diff,niche.overlap,level,niche.overlap.genus,niche.overlap.family,niche.overlap.ktype
h2,gers:hort,gers,hort,Megabombus,Megabombus,long,long,987,FALSE,long:long,same,0,genus,0,NA,NA
h2,gers:hypn,gers,hypn,Megabombus,Pyrobombus,long,med,987,TRUE,med:long,different,0,genus,0,NA,NA
h2,gers:jone,gers,jone,Megabombus,Pyrobombus,long,short,987,TRUE,short:long,different,0,genus,0,NA,NA
h2,gers:muci,gers,muci,Megabombus,Thoracobombus,long,med,987,TRUE,med:long,different,0,genus,0,NA,NA
h2,gers:pasc,gers,pasc,Megabombus,Thoracobombus,long,med,987,TRUE,med:long,different,0.05906120950274496,genus,0.05906120950274496,NA,NA
h2,gers:prat,gers,prat,Megabombus,Pyrobombus,long,short,987,TRUE,short:long,different,0,genus,0,NA,NA
h2,gers:psit,gers,psit,Megabombus,Psithyrus,long,short,987,TRUE,short:long,different,0,genus,0,NA,NA
h2,gers:soro,gers,soro,Megabombus,Kallobombus,long,short,987,TRUE,short:long,different,0,genus,0,NA,NA
h2,gers:telu,gers,telu,Megabombus,Bombus,long,short,987,TRUE,short:long,different,0,genus,0,NA,NA
h2,gers:wurf,gers,wurf,Megabombus,Alpigenobombus,long,med,987,TRUE,med:long,different,0.04174656142690114,genus,0.04174656142690114,NA,NA
h2,hort:hypn,hort,hypn,Megabombus,Pyrobombus,long,med,987,TRUE,med:long,different,0.3497155638864311,genus,0.3497155638864311,NA,NA
h2,hort:jone,hort,jone,Megabombus,Pyrobombus,long,short,987,TRUE,short:long,different,0.07747530211325393,genus,0.07747530211325393,NA,NA
h2,hort:muci,hort,muci,Megabombus,Thoracobombus,long,med,987,TRUE,med:long,different,0,genus,0,NA,NA
h2,hort:pasc,hort,pasc,Megabombus,Thoracobombus,long,med,987,TRUE,med:long,different,0.2809021189145352,genus,0.2809021189145352,NA,NA
h2,hort:prat,hort,prat,Megabombus,Pyrobombus,long,short,987,TRUE,short:long,different,0.3085740600135154,genus,0.3085740600135154,NA,NA
h2,hort:psit,hort,psit,Megabombus,Psithyrus,long,short,987,TRUE,short:long,different,0.14489136437206063,genus,0.14489136437206063,NA,NA
