site,elev.mean,date,yday,ktype,visits,prop.visits,bb.abund,perc.flower.cover,elev.mean0,yday0,prop.flower.cover0,bb.abund0,visits.bin,year
h1,817,2010-05-12,132,1,1,0.16666666666666666,6,43.61001317523056,-1.1695708533467295,-1.5538419483044672,1.5747193741533707,-0.5487335748444526,1,2010
h1,817,2010-05-12,132,2,0,0,6,3.293807641633729,-1.1695708533467295,-1.5538419483044672,-0.5936312233924879,-0.5487335748444526,0,2010
h1,817,2010-05-12,132,3,0,0,6,1.3175230566534917,-1.1695708533467295,-1.5538419483044672,-0.6999229193506181,-0.5487335748444526,0,2010
h1,817,2010-05-12,132,4,0,0,6,31.027667984189723,-1.1695708533467295,-1.5538419483044672,0.8979955765532741,-0.5487335748444526,0,2010
h1,817,2010-05-12,132,5,2,0.3333333333333333,6,2.371541501976284,-1.1695708533467295,-1.5538419483044672,-0.6432340148396153,-0.5487335748444526,1,2010
h1,817,2010-05-12,132,6,3,0.5,6,11.923583662714098,-1.1695708533467295,-1.5538419483044672,-0.12949081770865215,-0.5487335748444526,1,2010
h1,817,2010-05-12,132,7,0,0,6,6.455862977602108,-1.1695708533467295,-1.5538419483044672,-0.4235645098594793,-0.5487335748444526,0,2010
h1,817,2010-05-23,143,0,0,0,4,0.0825082508250825,-1.1695708533467295,-1.2455278191662598,-0.7663464593825388,-0.6714303603621288,0,2010
h1,817,2010-05-23,143,1,1,0.25,4,24.876237623762375,-1.1695708533467295,-1.2455278191662598,0.5671495179707274,-0.6714303603621288,1,2010
h1,817,2010-05-23,143,2,0,0,4,1.9801980198019802,-1.1695708533467295,-1.2455278191662598,-0.6642818754253836,-0.6714303603621288,0,2010
h1,817,2010-05-23,143,3,0,0,4,0.825082508250825,-1.1695708533467295,-1.2455278191662598,-0.7264081439210435,-0.6714303603621288,0,2010
h1,817,2010-05-23,143,4,0,0,4,28.919141914191414,-1.1695708533467295,-1.2455278191662598,0.7845914577055361,-0.6714303603621288,0,2010
h1,817,2010-05-23,143,5,2,0.5,4,3.9191419141914188,-1.1695708533467295,-1.2455278191662598,-0.5599984961648122,-0.6714303603621288,1,2010
h1,817,2010-05-23,143,6,1,0.25,4,11.592409240924091,-1.1695708533467295,-1.2455278191662598,-0.1473025697293587,-0.6714303603621288,1,2010
h1,817,2010-05-23,143,7,0,0,4,27.805280528052805,-1.1695708533467295,-1.2455278191662598,0.7246839845132931,-0.6714303603621288,0,2010
h1,817,2010-06-18,169,0,0,0,7,2.5316455696202533,-1.1695708533467295,-0.5167853321123153,-0.634623042002501,-0.4873851820856145,0,2010
h1,817,2010-06-18,169,1,0,0,7,39.24050632911392,-1.1695708533467295,-0.5167853321123153,1.3397115738071246,-0.4873851820856145,0,2010
h1,817,2010-06-18,169,2,0,0,7,1.8987341772151896,-1.1695708533467295,-0.5167853321123153,-0.6686632939992186,-0.4873851820856145,0,2010
h1,817,2010-06-18,169,3,0,0,7,4.430379746835443,-1.1695708533467295,-0.5167853321123153,-0.532502286012348,-0.4873851820856145,0,2010
h1,817,2010-06-18,169,4,0,0,7,1.2658227848101267,-1.1695708533467295,-0.5167853321123153,-0.7027035459959362,-0.4873851820856145,0,2010
h1,817,2010-06-18,169,5,1,0.14285714285714285,7,16.455696202531644,-1.1695708533467295,-0.5167853321123153,0.11426250192528797,-0.4873851820856145,1,2010
h1,817,2010-06-18,169,6,4,0.5714285714285714,7,18.354430379746834,-1.1695708533467295,-0.5167853321123153,0.21638325791544097,-0.4873851820856145,1,2010
h1,817,2010-06-18,169,7,2,0.2857142857142857,7,15.822784810126581,-1.1695708533467295,-0.5167853321123153,0.08022224992857026,-0.4873851820856145,1,2010
h1,817,2010-06-30,181,0,0,0,1,3.571428571428571,-1.1695708533467295,-0.18044264577972538,-0.5786997708650362,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,1,0,0,1,27.678571428571423,-1.1695708533467295,-0.18044264577972538,0.7178691132242282,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,2,0,0,1,2.678571428571428,-1.1695708533467295,-0.18044264577972538,-0.6267208406461201,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,3,0,0,1,4.464285714285714,-1.1695708533467295,-0.18044264577972538,-0.5306787010839523,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,4,0,0,1,0.8928571428571428,-1.1695708533467295,-0.18044264577972538,-0.7227629802082879,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,5,1,1,1,17.857142857142858,-1.1695708533467295,-0.18044264577972538,0.18963734563230578,-0.8554755386386431,1,2010
h1,817,2010-06-30,181,6,0,0,1,29.464285714285715,-1.1695708533467295,-0.18044264577972538,0.8139112527863961,-0.8554755386386431,0,2010
h1,817,2010-06-30,181,7,0,0,1,13.392857142857142,-1.1695708533467295,-0.18044264577972538,-0.050468003273113626,-0.8554755386386431,0,2010
h1,817,2010-07-12,193,0,0,0,8,2.4242424242424248,-1.1695708533467295,0.15590004055286444,-0.6403995696140652,-0.42603678932677636,0,2010
h1,817,2010-07-12,193,1,0,0,8,19.393939393939398,-1.1695708533467295,0.15590004055286444,0.2722917930130806,-0.42603678932677636,0,2010
h1,817,2010-07-12,193,2,0,0,8,0.6060606060606062,-1.1695708533467295,0.15590004055286444,-0.738187929895545,-0.42603678932677636,0,2010
