site,elev.mean0,elev.mean,elev.class2,date,yday,yday0,bb.sp,k.type.ss,visits,visits.bin,prop.visits,prop.flower.cover,prop.flower.cover0,bb.sp.abund,bb.sp.abund0,pbl.w.class2
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,1,1,1,0.16666666666666666,0.43610013175230566,5.631592181565706,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,2,0,0,0,0.03293807641633729,-0.10134538244934056,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,3,0,0,0,0.013175230566534916,-0.3823717336265487,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,4,0,0,0,0.3102766798418972,3.842391079070814,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,5,2,1,0.3333333333333333,0.023715415019762844,-0.23249101299870442,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,6,3,1,0.5,0.11923583662714098,1.1258030176911351,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-12,132,-1.6231782104720096,pasc,7,0,0,0,0.06455862977602109,0.3482967794341925,6,0.34628990368139884,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,0,0,0,0,4.125412541254125e-4,-0.5638563252654933,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,1,1,1,0.25,0.12438118811881188,1.198969573065696,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,2,0,0,0,0.009900990099009901,-0.4289312149106934,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,3,0,0,0,0.004125412541254125,-0.5110595429527455,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,4,0,0,0,0.14459570957095708,1.486418721212878,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,5,2,1,0.5,0.019595709570957093,-0.2910729499829632,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,6,0,0,0,0.057962046204620456,0.25449380058209703,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,pasc,7,0,0,0,0.13902640264026403,1.4072235477437567,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,0,0,0,0,4.125412541254125e-4,-0.5638563252654933,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,1,0,0,0,0.12438118811881188,1.198969573065696,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,2,0,0,0,0.009900990099009901,-0.4289312149106934,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,3,0,0,0,0.004125412541254125,-0.5110595429527455,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,4,0,0,0,0.14459570957095708,1.486418721212878,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,5,0,0,0,0.019595709570957093,-0.2910729499829632,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,6,1,1,0.25,0.057962046204620456,0.25449380058209703,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-05-23,143,-1.3052564062579368,wurf,7,0,0,0,0.13902640264026403,1.4072235477437567,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,0,0,0,0,0.008438818565400843,-0.4497231966934914,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,1,0,0,0,0.13080168776371306,1.2902686502155178,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,2,0,0,0,0.006329113924050633,-0.4797230561229571,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,3,0,0,0,0.014767932489451477,-0.3597236184050944,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,4,0,0,0,0.004219409282700422,-0.5097229155524229,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,5,1,1,0.14285714285714285,0.05485232067510548,0.21027371075475346,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,6,4,1,0.5714285714285714,0.06118143459915612,0.3002732890431506,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,pasc,7,0,0,0,0.05274261603375527,0.18027385132528775,5,0.16275867931766871,med
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,0,0,0,0,0.008438818565400843,-0.4497231966934914,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,1,0,0,0,0.13080168776371306,1.2902686502155178,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,2,0,0,0,0.006329113924050633,-0.4797230561229571,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,3,0,0,0,0.014767932489451477,-0.3597236184050944,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,4,0,0,0,0.004219409282700422,-0.5097229155524229,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,5,0,0,0,0.05485232067510548,0.21027371075475346,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,6,0,0,0,0.06118143459915612,0.3002732890431506,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,prat,7,1,1,0.14285714285714285,0.05274261603375527,0.18027385132528775,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,0,0,0,0,0.008438818565400843,-0.4497231966934914,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,1,0,0,0,0.13080168776371306,1.2902686502155178,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,2,0,0,0,0.006329113924050633,-0.4797230561229571,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,3,0,0,0,0.014767932489451477,-0.3597236184050944,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,4,0,0,0,0.004219409282700422,-0.5097229155524229,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,5,0,0,0,0.05485232067510548,0.21027371075475346,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,6,0,0,0,0.06118143459915612,0.3002732890431506,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-18,169,-0.5538048690246735,soro,7,1,1,0.14285714285714285,0.05274261603375527,0.18027385132528775,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,0,0,0,0,0.03571428571428571,-0.06186787121254233,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,1,0,0,0,0.27678571428571425,3.3661517803794374,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,2,0,0,0,0.02678571428571428,-0.18883156201224535,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,3,0,0,0,0.044642857142857144,0.06509581958716068,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,4,0,0,0,0.008928571428571428,-0.4427589436116512,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,5,1,1,1,0.17857142857142858,1.9695511815827051,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,6,0,0,0,0.29464285714285715,3.6200791619788433,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-06-30,181,-0.20698108260932127,pasc,7,0,0,0,0.13392857142857142,1.3347327275841903,1,-0.5713662181372517,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,0,0,0,0,0.024242424242424246,-0.22499697696731213,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,1,0,0,0,0.19393939393939397,2.188082625140982,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,2,0,0,0,0.0060606060606060615,-0.4835412200503437,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,3,0,0,0,0.024242424242424246,-0.22499697696731213,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,5,6,1,0.75,0.15151515151515152,1.5848127246139083,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,6,2,1,0.25,0.5333333333333333,7.01424182935757,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-12,193,0.13984270380603098,pasc,7,0,0,0,0.06666666666666667,0.3782729235597613,8,0.7133523524088591,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,0,0,0,0,0.034722222222222224,-0.07597494796806484,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,1,0,0,0,0.11111111111111112,1.0102699622071718,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,2,0,0,0,0.006944444444444445,-0.47097309712269625,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,3,0,0,0,0.01388888888888889,-0.37222355983403843,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,5,2,1,0.10256410256410256,0.11111111111111112,1.0102699622071718,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,6,14,1,0.7435897435897436,0.11111111111111112,1.0102699622071718,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,pasc,7,2,1,0.10256410256410256,0.11111111111111112,1.0102699622071718,18.5,2.6404302082280253,med
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,0,0,0,0,0.034722222222222224,-0.07597494796806484,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,1,0,0,0,0.11111111111111112,1.0102699622071718,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,2,0,0,0,0.006944444444444445,-0.47097309712269625,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,3,0,0,0,0.01388888888888889,-0.37222355983403843,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,5,0,0,0,0.11111111111111112,1.0102699622071718,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,6,1,1,0.05128205128205128,0.11111111111111112,1.0102699622071718,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-18,199,0.3132545970137071,telu,7,0,0,0,0.11111111111111112,1.0102699622071718,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,0,0,0,0,0.02702702702702703,-0.18540011090955058,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,1,0,0,0,0.0945945945945946,0.7754061978449585,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,2,0,0,0,0.013513513513513514,-0.37756137266045237,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,3,0,0,0,0.013513513513513514,-0.37756137266045237,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,5,2,1,0.13333333333333333,0.13513513513513514,1.3518899830976638,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,6,12,1,0.8,0.0945945945945946,0.7754061978449585,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,pasc,7,0,0,0,0.12162162162162161,1.1597287213467617,14,1.8145396985912399,med
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,0,0,0,0,0.02702702702702703,-0.18540011090955058,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,1,0,0,0,0.0945945945945946,0.7754061978449585,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,2,0,0,0,0.013513513513513514,-0.37756137266045237,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,3,0,0,0,0.013513513513513514,-0.37756137266045237,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,5,0,0,0,0.13513513513513514,1.3518899830976638,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,6,1,1,0.06666666666666667,0.0945945945945946,0.7754061978449585,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-07-26,207,0.544470454623942,telu,7,0,0,0,0.12162162162162161,1.1597287213467617,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,0,0,0,0,0.02777777777777778,-0.17472448525672268,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,1,0,0,0,0.0763888888888889,0.5165222757638824,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,2,1,1,0.045454545454545456,0.034722222222222224,-0.07597494796806484,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,5,1,1,0.045454545454545456,0.041666666666666664,0.022774589320592974,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,6,0,0,0,0.041666666666666664,0.022774589320592974,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,hort,7,0,0,0,0.11111111111111112,1.0102699622071718,2,-0.38783499377352165,long
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,0,0,0,0,0.02777777777777778,-0.17472448525672268,18,2.5486645960461605,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,1,0,0,0,0.0763888888888889,0.5165222757638824,18,2.5486645960461605,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,2,15,1,0.6818181818181818,0.034722222222222224,-0.07597494796806484,18,2.5486645960461605,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,5,1,1,0.045454545454545456,0.041666666666666664,0.022774589320592974,18,2.5486645960461605,med
