plant.sp,plant.genus,color
Achillea atrata,Achillea,white
Achillea clavennae,Achillea,white
Achillea collina,Achillea,white
Achillea millefolium,Achillea,white
Achillea pannonica,Achillea,white
Achillea pratensis,Achillea,white
Achillea roseoalba,Achillea,pink
Achillea setacea,Achillea,white
Acinos alpinus,Acinos,violet
Aconitum degenii,Aconitum,blue
Aconitum lycoctonum,Aconitum,yellow
Aconitum napellus,Aconitum,blue
Aconitum plicatum,Aconitum,blue
Aconitum tauricum,Aconitum,blue
Aconitum variegatum,Aconitum,violet
Adenostyles alliariae,Adenostyles,red
Adenostyles glabra,Adenostyles,red
Aegopodium podagraria,Aegopodium,white
Ajuga reptans,Ajuga,blue
Alchemilla alpigena,Alchemilla,green
Alchemilla cleistophylla,Alchemilla,green
Alchemilla connivens,Alchemilla,green
Alchemilla coriacea,Alchemilla,green
Alchemilla crinita,Alchemilla,green
Alchemilla cymatophylla,Alchemilla,green
Alchemilla decumbens,Alchemilla,green
Alchemilla effusa,Alchemilla,green
Alchemilla filicaulis,Alchemilla,green
Alchemilla fissa,Alchemilla,green
Alchemilla glabra,Alchemilla,green
Alchemilla glaucescens,Alchemilla,green
Alchemilla glomerulans,Alchemilla,green
Alchemilla hoppeana,Alchemilla,green
Alchemilla impexa,Alchemilla,green
Alchemilla lineata,Alchemilla,green
Alchemilla lunaria,Alchemilla,green
Alchemilla micans,Alchemilla,green
Alchemilla monticola,Alchemilla,green
Alchemilla obtusa,Alchemilla,green
Alchemilla pallens,Alchemilla,green
Alchemilla propinqua,Alchemilla,green
Alchemilla reniformis,Alchemilla,green
Alchemilla rubristipula,Alchemilla,green
Alchemilla straminea,Alchemilla,green
Alchemilla strigosula,Alchemilla,green
Alchemilla subcrenata,Alchemilla,green
Alchemilla subglobosa,Alchemilla,green
Alchemilla tenuis,Alchemilla,green
Alchemilla tirolensis,Alchemilla,green
Alchemilla undulata,Alchemilla,green
Alchemilla versipila,Alchemilla,green
Alchemilla vulgaris,Alchemilla,green
Alchemilla xanthochlora,Alchemilla,green
Allium carinatum,Allium,purple
Allium cirrhosum,Allium,purple
Androsace chamaejasme,Androsace,white
Anemone narcissiflora,Anemone,white
Anemone nemorosa,Anemone,white
Antennaria dioica,Antennaria,white
Anthericum ramosum,Anthericum,white
Anthriscus nitida,Anthriscus,white
Anthriscus sylvestris,Anthriscus,white
Anthyllis vulneraria,Anthyllis,yellow
Aposeris foetida,Aposeris,yellow
Aquilegia atrata,Aquilegia,brown
Arabis alpina,Arabis,white
Arabis bellidifolia,Arabis,white
Arabis caerulea,Arabis,blue
Arabis caucasica,Arabis,white
Arabis ciliata,Arabis,white
Arabis hirsuta,Arabis,white
Arabis nemorensis,Arabis,white
Arabis sagittata,Arabis,white
Arctostaphylos alpinus,Arctostaphylos,white
Arenaria ciliata,Arenaria,white
Aster bellidiastrum,Aster,white
Bartsia alpina,Bartsia,violet
Bellis perennis,Bellis,white
Berberis vulgaris,Berberis,yellow
Betonica alopecuros,Betonica,yellow
Betonica officinalis,Betonica,red
Biscutella laevigata,Biscutella,yellow
Bistorta vivipara,Bistorta,white
Buphthalmum salicifolium,Buphthalmum,yellow
Calluna vulgaris,Calluna,violet
Caltha palustris,Caltha,yellow
Campanula alpina,Campanula,violet
Campanula cochleariifolia,Campanula,blue
Campanula glomerata,Campanula,violet
Campanula patula,Campanula,pink
Campanula scheuchzeri,Campanula,violet
Campanula trachelium,Campanula,violet
Cardamine dentata,Cardamine,white
Cardamine pratensis,Cardamine,violet
Cardamine udicola,Cardamine,white
Carduus defloratus,Carduus,purple
Carlina acaulis,Carlina,white
Carlina biebersteinii,Carlina,yellow
Carlina vulgaris,Carlina,yellow
Carum carvi,Carum,white
Centaurea jacea,Centaurea,purple
Centaurea scabiosa,Centaurea,purple
Cephalanthera longifolia,Cephalanthera,white
Cerastium fontanum,Cerastium,white
Cerastium holosteoides,Cerastium,white
Cerastium latifolium,Cerastium,white
Cerastium lucorum,Cerastium,white
Chaerophyllum hirsutum,Chaerophyllum,white
Chrysosplenium alternifolium,Chrysosplenium,yellow
Cirsium arvense,Cirsium,pink
Cirsium oleraceum,Cirsium,yellow
Cirsium palustre,Cirsium,purple
Cirsium spinosissimum,Cirsium,yellow
Cirsium vulgare,Cirsium,purple
Clinopodium vulgare,Clinopodium,purple
Coeloglossum viride,Coeloglossum,brown
Convallaria majalis,Convallaria,white
Crepis alpestris,Crepis,yellow
Crepis aurea,Crepis,orange
Crepis biennis,Crepis,yellow
Crepis paludosa,Crepis,yellow
Crepis terglouensis,Crepis,yellow
Crocus albiflorus,Crocus,white
Crocus vernus,Crocus,yellow
Cruciata laevipes,Cruciata,yellow
Cuscuta epithymum,Cuscuta,pink
Cuscuta trifolii,Cuscuta,pink
Dactylorhiza cruenta,Dactylorhiza,purple
Dactylorhiza curvifolia,Dactylorhiza,pink
Dactylorhiza fuchsii,Dactylorhiza,pink
Dactylorhiza incarnata,Dactylorhiza,red
Dactylorhiza lapponica,Dactylorhiza,purple
Dactylorhiza maculata,Dactylorhiza,pink
Dactylorhiza majalis,Dactylorhiza,purple
Dactylorhiza praetermissa,Dactylorhiza,pink
Dactylorhiza ruthei,Dactylorhiza,purple
Dactylorhiza sphagnicola,Dactylorhiza,pink
Dactylorhiza traunsteineri,Dactylorhiza,purple
Dactylorhiza xtransiens,Dactylorhiza,pink
Daphne mezereum,Daphne,pink
Daucus carota,Daucus,white
Dentaria enneaphyllos,Dentaria,white
Doronicum grandiflorum,Doronicum,yellow
Draba aizoides,Draba,yellow
Dryas octopetala,Dryas,white
Epilobium alpestre,Epilobium,purple
Epilobium alsinifolium,Epilobium,red
Epilobium angustifolium,Epilobium,purple
Epilobium montanum,Epilobium,pink
Epipactis atrorubens,Epipactis,brown
Erica carnea,Erica,red
Erigeron annuus,Erigeron,white
