plant.genus,plant.family
Ajuga,Lamiaceae
Alchemilla,Rosaceae
Aposeris,Asteraceae
Biscutella,Brassicaceae
Cirsium,Asteraceae
Dactylorhiza,Orchidaceae
Daphne,Thymelaeaceae
Dryas,Rosaceae
Erica,Ericaceae
Euphorbia,Euphorbiaceae
Fragaria,Rosaceae
Galium,Rubiaceae
Gentiana,Gentianaceae
Hieracium,Asteraceae
Leontodon,Asteraceae
Leucanthemum,Asteraceae
Lotus,Fabaceae
Plantago,Plantaginaceae
Polygala,Polygalaceae
Potentilla,Rosaceae
Primula,Primulaceae
Ranunculus,Ranunculaceae
Silene,Caryophyllaceae
Taraxacum,Asteraceae
Thymus,Lamiaceae
Trifolium,Fabaceae
Veronica,Plantaginaceae
Viola,Violaceae
Hepatica,Ranunculaceae
Salvia,Lamiaceae
Aster,Asteraceae
Chaerophyllum,Apiaceae
Hippocrepis,Fabaceae
Origanum,Lamiaceae
Phyteuma,Campanulaceae
Melampyrum,Orobanchaceae
Thalictrum,Ranunculaceae
Tofieldia,Tofieldiaceae
Centaurea,Asteraceae
Prunella,Lamiaceae
Vaccinium,Ericaceae
Tussilago,Asteraceae
Campanula,Campanulaceae
Lathyrus,Fabaceae
Scabiosa,Caprifoliaceae
Euphrasia,Orobanchaceae
Carum,Apiaceae
Lysimachia,Primulaceae
Clinopodium,Lamiaceae
Carlina,Asteraceae
Juniperus,Cupressaceae
Vicia,Fabaceae
Polygonatum,Asparagaceae
Knautia,Caprifoliaceae
Senecio,Asteraceae
Carduus,Asteraceae
Helianthemum,Cistaceae
Acinos,Lamiaceae
Hypericum,Hypericaceae
Rhinanthus,Orobanchaceae
Rumex,Polygonaceae
Teucrium,Lamiaceae
Anthyllis,Fabaceae
Buphthalmum,Asteraceae
Medicago,Fabaceae
Anthericum,Asparagaceae
Stachys,Lamiaceae
Galeopsis,Lamiaceae
Carex,Cyperaceae
Anemone,Ranunculaceae
Crocus,Iridaceae
Globularia,Plantaginaceae
Soldanella,Primulaceae
Antennaria,Asteraceae
Crepis,Asteraceae
Trollius,Ranunculaceae
Adenostyles,Asteraceae
Aconitum,Ranunculaceae
Cardamine,Brassicaceae
Geranium,Geraniaceae
Geum,Rosaceae
Mentha,Lamiaceae
Myosotis,Boraginaceae
Rhododendron,Ericaceae
Solidago,Asteraceae
Epilobium,Onagraceae
Senecio,Asteraceae
Willemetia,Asteraceae
Bartsia,Orobanchaceae
Chrysosplenium,Saxifragaceae
Lamium,Lamiaceae
Androsace,Primulaceae
Petasites,Asteraceae
Achillea,Asteraceae
Rhodothamnus,Ericaceae
Linaria,Plantaginaceae
Salix,Salicaceae
Saxifraga,Saxifragaceae
Heracleum,Apiaceae
Impatiens,Balsaminaceae
Scrophularia,Scrophulariaceae
Tragopogon,Asteraceae
Helleborus,Ranunculaceae
Pedicularis,Orobanchaceae
Crepis,Asteraceae
Hedysarum,Fabaceae
Lilium,Liliaceae
Rubus,Rosaceae
Rosa,Rosaceae
Larix,Pinaceae
Mentha,Lamiaceae
Salix,Salicaceae
Caltha,Ranunculaceae
Pulmonaria,Boraginaceae
Rheum,Polygonaceae
