year,dayofyear,site,trap.time,pollen,bb.sp,bb.sp.lat,plant.sp.abb,plant.sp,temp.date,day,month,date
2010,142,h1,10:50:00,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,1970-05-23,23,5,2010-05-23
2010,131,h1,14:35:00,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,1970-05-12,12,5,2010-05-12
2010,142,h1,11:00:00,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,1970-05-23,23,5,2010-05-23
2010,131,h1,15:00:00,nopollen,pasc,Bombus pascuorum,Aju.rep,Ajuga reptans,1970-05-12,12,5,2010-05-12
2010,142,h1,10:55:00,nopollen,pasc,Bombus pascuorum,Bis.lae,Biscutella laevigata,1970-05-23,23,5,2010-05-23
2010,244,h1,10:55:00,nopollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,1970-09-02,2,9,2010-09-02
2010,244,h1,11:05:00,nopollen,soro,Bombus soroeensis,Cen.jac,Centaurea jacea,1970-09-02,2,9,2010-09-02
2010,198,h1,09:20:00,pollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,1970-07-18,18,7,2010-07-18
2010,244,h1,11:25:00,pollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,1970-09-02,2,9,2010-09-02
2010,244,h1,10:55:00,NA,soro,Bombus soroeensis,Cen.jac,Centaurea jacea,1970-09-02,2,9,2010-09-02
2010,244,h1,11:20:00,NA,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,1970-09-02,2,9,2010-09-02
2010,198,h1,10:15:00,nopollen,pasc,Bombus pascuorum,Cen.jac,Centaurea jacea,1970-07-18,18,7,2010-07-18
2010,244,h1,11:50:00,NA,pasc,Bombus pascuorum,Cli.vul,Clinopodium vulgare,1970-09-02,2,9,2010-09-02
2010,168,h1,12:45:00,pollen,pasc,Bombus pascuorum,Dac.mac,Dactylorhiza maculata,1970-06-18,18,6,2010-06-18
2010,244,h1,11:10:00,pollen,pasc,Bombus pascuorum,Eup.ros,Euphrasia rostkoviana,1970-09-02,2,9,2010-09-02
2010,234,h1,18:25:00,nopollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,19:05:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:45:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:45:00,pollen,hort,Bombus hortorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:55:00,nopollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,19:15:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:45:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:40:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,244,h1,11:55:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-09-02,2,9,2010-09-02
2010,234,h1,18:25:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:25:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:50:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,19:15:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:50:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:50:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:50:00,nopollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,234,h1,18:45:00,pollen,pasc,Bombus pascuorum,Gen.asc,Gentiana asclepiadea,1970-08-23,23,8,2010-08-23
2010,202,h1,19:05:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,202,h1,19:10:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,202,h1,19:05:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,202,h1,19:15:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,202,h1,19:00:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,192,h1,12:10:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-12,12,7,2010-07-12
2010,234,h1,19:00:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-08-23,23,8,2010-08-23
2010,202,h1,19:10:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,202,h1,19:20:00,pollen,pasc,Bombus pascuorum,Lot.cor,Lotus corniculatus,1970-07-22,22,7,2010-07-22
2010,168,h1,13:20:00,pollen,soro,Bombus soroeensis,Phy.orb,Phyteuma orbiculare,1970-06-18,18,6,2010-06-18
2010,168,h1,12:45:00,pollen,prat,Bombus pratorum,Phy.orb,Phyteuma orbiculare,1970-06-18,18,6,2010-06-18
2010,131,h1,15:05:00,nopollen,pasc,Bombus pascuorum,Pol.cha,Polygala chamaebuxus,1970-05-12,12,5,2010-05-12
2010,131,h1,15:00:00,nopollen,pasc,Bombus pascuorum,Pol.cha,Polygala chamaebuxus,1970-05-12,12,5,2010-05-12
2010,131,h1,14:15:00,nopollen,pasc,Bombus pascuorum,Pol.cha,Polygala chamaebuxus,1970-05-12,12,5,2010-05-12
2010,142,h1,10:45:00,nopollen,wurf,Bombus wurflenii,Pol.cha,Polygala chamaebuxus,1970-05-23,23,5,2010-05-23
2010,198,h1,10:15:00,nopollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-18,18,7,2010-07-18
2010,202,h1,18:35:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-22,22,7,2010-07-22
2010,192,h1,12:45:00,nopollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-12,12,7,2010-07-12
2010,180,h1,11:25:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-06-30,30,6,2010-06-30
2010,192,h1,12:25:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-12,12,7,2010-07-12
2010,202,h1,19:00:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-22,22,7,2010-07-22
2010,192,h1,12:30:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-12,12,7,2010-07-12
2010,192,h1,12:50:00,pollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-12,12,7,2010-07-12
2010,198,h1,09:25:00,nopollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-18,18,7,2010-07-18
2010,192,h1,12:45:00,nopollen,pasc,Bombus pascuorum,Pru.vul,Prunella vulgaris,1970-07-12,12,7,2010-07-12
