year;dayofyear;site_name;management;Mean_altitude;Lat;Long;trapping_time;bumb_species;bumb_sp_latin;pollen;bumb_lifestyle;forage_plant;plant_sp_latin
2010;142;h1;grasing;817;47,590633;12,836133;10:50;pasc;Bombus pascuorum;nopollen;social;Aju.rep;Ajuga reptans 
2010;131;h1;grasing;817;47,590633;12,836133;14:35;pasc;Bombus pascuorum;nopollen;social;Aju.rep;Ajuga reptans 
2010;142;h1;grasing;817;47,590633;12,836133;11:00;pasc;Bombus pascuorum;nopollen;social;Aju.rep;Ajuga reptans 
2010;131;h1;grasing;817;47,590633;12,836133;15:00;pasc;Bombus pascuorum;nopollen;social;Aju.rep;Ajuga reptans 
2010;142;h1;grasing;817;47,590633;12,836133;10:55;pasc;Bombus pascuorum;nopollen;social;Bis.lae;Biscutella laevigata
2010;244;h1;grasing;817;47,590633;12,836133;10:55;pasc;Bombus pascuorum;nopollen;social;Cen.jac;Centaurea jacea s.str.
2010;244;h1;grasing;817;47,590633;12,836133;11:05;soro;Bombus soroeensis;nopollen;social;Cen.jac;Centaurea jacea s.str.
2010;198;h1;grasing;817;47,590633;12,836133;09:20;pasc;Bombus pascuorum;pollen;social;Cen.jac;Centaurea jacea s.str.
2010;244;h1;grasing;817;47,590633;12,836133;11:25;pasc;Bombus pascuorum;pollen;social;Cen.jac;Centaurea jacea s.str.
2010;244;h1;grasing;817;47,590633;12,836133;10:55;soro;Bombus soroeensis;NA;social;Cen.jac;Centaurea jacea s.str.
2010;244;h1;grasing;817;47,590633;12,836133;11:20;pasc;Bombus pascuorum;NA;social;Cen.jac;Centaurea jacea s.str.
2010;198;h1;grasing;817;47,590633;12,836133;10:15;pasc;Bombus pascuorum;nopollen;social;Cen.jac;Centaurea jacea s.str.
2010;244;h1;grasing;817;47,590633;12,836133;11:50;pasc;Bombus pascuorum;NA;social;Cli.vul;Clinopodium vulgare
2010;168;h1;grasing;817;47,590633;12,836133;12:45;pasc;Bombus pascuorum;pollen;social;Dac.mac;Dactylorhiza maculata
2010;244;h1;grasing;817;47,590633;12,836133;11:10;pasc;Bombus pascuorum;pollen;social;Eup.ros;Euphrasia rostkoviana
2010;234;h1;grasing;817;47,590633;12,836133;18:25;pasc;Bombus pascuorum;nopollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;19:05;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:45;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:45;hort;Bombus hortorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:55;pasc;Bombus pascuorum;nopollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;19:15;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:45;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:40;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;244;h1;grasing;817;47,590633;12,836133;11:55;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:25;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:25;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:50;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;19:15;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:50;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:50;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:50;pasc;Bombus pascuorum;nopollen;social;Gen.asc;Gentiana asclepiadea
2010;234;h1;grasing;817;47,590633;12,836133;18:45;pasc;Bombus pascuorum;pollen;social;Gen.asc;Gentiana asclepiadea
2010;202;h1;grasing;817;47,590633;12,836133;19:05;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;202;h1;grasing;817;47,590633;12,836133;19:10;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;202;h1;grasing;817;47,590633;12,836133;19:05;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;202;h1;grasing;817;47,590633;12,836133;19:15;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;202;h1;grasing;817;47,590633;12,836133;19:00;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;192;h1;grasing;817;47,590633;12,836133;12:10;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
2010;234;h1;grasing;817;47,590633;12,836133;19:00;pasc;Bombus pascuorum;pollen;social;Lot.cor;Lotus corniculatus 
