year;date;dayofyear;weather;temperature;site_name;site_elevation;site_eleclass;trapping_locality ;stage_site;stage_overall;stage_mean_doy;stage_interval;trapping_interval;trapping_time;bumb_species;caste;activity;forage_plant;pollen;pollen_colour;sample_number;size;observer;comment
2010;09.05.2010;129;sunny;16;t1;714;0;inside;1;1;130;11:10-12:00;11:10-12:00;11:30;soro;queen;for;Ran.acr;nopollen;0;0;0;K;
2010;09.05.2010;129;sunny;16;t1;714;0;inside;1;1;130;11:10-12:00;11:10-12:00;11:45;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;09.05.2010;129;sunny;16;t1;714;0;inside;1;1;130;11:10-12:00;11:10-12:00;11:50;wurf;queen;for;Tri.pra;nopollen;0;0;0;K;
2010;09.05.2010;129;sunny;16;t1;714;0;inside;1;1;130;11:10-12:00;11:10-12:00;11:55;telu;queen;for;Pla.lan;nopollen;0;0;0;K;
2010;09.05.2010;129;sunny;16;t5;746;0;inside;1;1;130;14:50-15:40;14:50-15:40;15:30;wurf;queen;for;Ran.acr;nopollen;0;0;0;K;
2010;09.05.2010;129;sunny;16;t5;746;0;inside;1;1;130;14:50-15:40;14:50-15:40;15:40;wurf;queen;for;Tar.off;nopollen;0;0;0;K;
2010;10.05.2010;130;sunny/c;13;h2;987;1;inside;1;1;130;14:10-15:00;14:10-15:00;14:15;soro;queen ;fly;0;nopollen;0;0;0;K;
2010;10.05.2010;130;sunny/c;13;h2;987;1;inside;1;1;130;14:10-15:00;14:10-15:00;14:15;telu;queen;fly;0;nopollen;0;0;0;K;
2010;10.05.2010;130;sunny/c;13;h2;987;1;inside;1;1;130;14:10-15:00;14:10-15:00;14:15;psyt;queen;for;Tar.off;0;0;0;0;K;
2010;10.05.2010;130;sunny/c;13;h2;987;1;inside;1;1;130;14:10-15:00;14:10-15:00;14:25;psyt;queen;for;Tar.off;0;0;0;0;K;
2010;10.05.2010;130;sunny/c;13;h2;987;1;inside;1;1;130;14:10-15:00;14:10-15:00;14:30;wurf;queen;for;Pol.alp;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;14:15;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;14:30;pasc;queen;for;Ran.acr;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;14:35;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;14:40;pasc;queen;fly;0;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;14:55;pasc;queen;fly;0;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;15:00;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;15:00;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;15:05;pasc;queen;nest;0;nopollen;0;0;0;K;
2010;11.05.2010;131;sunny;17;h1;817;1;inside;1;1;130;14:15-15:05;14:15-15:05;15:05;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:30;wurf;queen;fly;0;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:45;pasc;queen;fly;0;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:45;pasc;queen;fly;0;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:45;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:50;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;10:55;pasc;queen;for;Bis.lae;nopollen;0;0;0;K;
2010;22.05.2010;142;cloudy;15;h1;817;1;inside;2;2;144;10:25-11:15;10:25-11:15;11:00;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:25;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:25;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:25;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:25;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:30;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:35;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:45;telu;queen;for;Gen.clu;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:45;psyt;queen;for;Gen.ver;0;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:45;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:45;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:50;wurf;queen;for;Gen.clu;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:50;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:50;psyt;queen;for;Tar.off;0;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:55;telu;queen;fly;0;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:55;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;16:55;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:00;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:00;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:00;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:00;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:00;psyt;queen;for;Pol.cha;0;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:05;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:10;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:10;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:10;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:10;wurf;queen;for;Pri.far;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;22.05.2010;142;sunny;13;h2;987;1;inside;2;2;144;16:25-17:15;16:25-17:15;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;10:55;telu;queen;fly;0;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;10:55;prat;queen;for;Ran.mon;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:00;prat;queen;fly;0;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:10;telu;queen;for;Pol.cha;nopollen;0;0;0;K;sonnig v.a. erste/letzte 10 min
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:20;pasc;queen;fly;0;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:45;telu;queen;fly;0;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:45;pasc;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;23.05.2010;143;cloudy/s;13;ho2;1045;2;inside;1;2;144;10:55-11:45;10:55-11:45;11:45;prat;worker;for;Oxa.ace;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;16:35;telu;queen;for;Pol.cha;nopollen;0;0;0;K;ab 17.05 die sdseite
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;16:55;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:00;prat;queen;for;Gen.clu;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:00;wurf;queen;for;Gen.clu;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:00;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:00;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:05;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:05;soro;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:10;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:10;soro;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:10;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:10;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:15;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:15;prat;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:20;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:20;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:20;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;23.05.2010;143;sunny;14;h3;1105;2;inside;1;2;144;16:10-17:20;16:10-17:20;17:20;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:05;wurf;queen;for;Bis.lae;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:10;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:10;prat;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:15;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:15;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:20;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:20;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:20;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:25;pasc;queen;for;Aju.rep;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:25;psyt;queen;nest;0;0;0;0;0;K;i
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:25;pasc;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:35;telu;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:35;wurf;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:35;psyt;queen;for;Tar.off;0;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:40;psyt;queen;for;Ran.mon;0;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:45;alpi;queen;fly;0;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:45;psyt;queen;for;Gen.ver;0;0;0;0;K;
2010;24.05.2010;144;sunny;17;wma2;1245;2;inside;1;2;144;11:00-11:50;11:00-11:50;11:50;prat;queen;for;Pol.cha;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:15;psyt;queen;for;Ran.mon;0;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:20;wurf;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:20;wurf;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:20;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:20;pasc;queen;nest;0;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:30;hort;worker;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:35;pasc;queen;nest;0;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:35;psyt;queen;for;Vio.rei;0;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:40;telu;queen;fly;0;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:45;pasc;queen;for;Car.enn;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:45;telu;queen;for;Gen.ver;nopollen;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:50;psyt;queen;for;Gen.ver;0;0;0;0;K;
2010;24.05.2010;144;sunny;18;wmb2;1140;2;inside;1;2;144;14:20-15:10;14:20-15:10;14:55;telu;queen;fly;0;nopollen;0;0;0;K;
